X1	ACTION1	Y1	[FILL] is/is similar to/means	X2	ACTION2	Y2	[SKIP] COMMENTS	[SKIP] DEP	[SKIP] UID	
better	look		means		see	better			2296-98bd-73b5-1679	
bike			means	bicycle			#1668		3625-df10-23fc-2223	
blacktop			means	asphalt					26f3-c715-9750-2ff7	
blossoms			means	flowers			# Q 80		a03b-45d7-093c-40f0	
boiling point			means	temperature	at which a liquid boils; above which a liquid boils		#1073, seems like it should be in a different table?		73e5-00b0-22fd-e34e	
boiling point			is	the highest temperature	a liquid can reach		#1330, should be in a different table?		cb9b-7410-93c7-2adf	
both			means	two					4dc0-19c7-104a-0ddf	
the bottom			is	the lowest part of something			#191		55a5-73d4-c1b1-e55b	
buoyant			means	able to float in a liquid or gas			#1350, seems like it should be in a different table?		1603-cc51-e120-065e	
Camouflage			is synonymous with	visual disguise					225b-9d13-f6b0-4da1	
carrion			means		rotting	meat; flesh			0ff3-af70-ba28-efc5	
cellular respiration			is	cellular digestion			# Q 79		2ede-65e6-e727-d345	
characteristic			means	property			#252		b605-9c58-598d-817e	
children; young			is synonymous with	offspring					00fd-04c0-5805-8b81	
CO2			means	carbon dioxide					01a8-2f77-9145-2ab3	
coastline			means	coast			# Q 47		4f91-092a-029b-64a8	
coat			means	fur coat			#1845		4483-54ea-1288-2d72	
coloration			means	a thing's color			# 1205		b756-83bc-074d-62a2	
colorless			means	no color			#371		140f-03da-a4ce-9f45	
a component			means	a part of			#369		10d3-297c-e0e5-8531	
	construction		means		building		#2032		eb54-6da1-4c1e-fb6a	
	to convert		means		to change		#174		72a6-1822-575b-e849	
cooler			means		colder		# Q 12, okay?		bf2d-aa23-f737-e69c	
cure			means	solution to being sick			#1220		16ea-bfa4-07c6-c55d	
curiosity			means	the need	to know	new information	#414		b28b-5ea8-bdf1-0faf	
current			means	electric current			# context?		1058-66b0-4e23-6cf9	
daily			means	every day; once per day			#1038		9318-8c1b-0902-d588	
data			means	information			#1204		3bbb-b092-18ed-1a8a	
daylight			means	sunlight			# Q 211		81a9-8f8a-02ee-4dbc	
daylight hours			means	time during which there is daylight			#710		4b1a-b0f4-764e-a79c	
daytime			means	day			#1247		4045-4262-fa1f-160f	
dead			means	not alive			# 768		42ee-7009-131f-4719	
death			means		to die				f3f5-fefd-3507-4a59	
deforested area			means	an area where trees	have been cut down		#2042		58fb-4d30-982b-787b	
destruction			means	to destroy			#1018		0bc7-4574-ceb9-5aa0	
destruction			means	loss			#1693		c388-ad58-2f0e-74b4	
device			means	tool			#738		de25-e9d6-aced-d88e	
diet			means	what an animal	eats		#2108		b588-365f-7c0a-2c55	
difficulty	seeing		means	visibility	decreases		#1299		31be-afe3-6b4d-fa2d	
dirt			means	soil			#831		8480-1ad7-af0d-15e0	
disappeared			is similar to	gone			#570		be79-d370-85cf-8ca6	
downhill			means	down					63ed-e261-2225-2e65	
downward			means	down					1632-346e-67a5-b1b8	
a droplet			is	a small amount of liquid			#1238	Moved to Proto-Prop-Things	b7f1-a07f-4e97-f2fe	
dry			means	low in moisture; low in wetness			#828	Moved to AVR.	aefe-0d0f-bb2e-5199	
due to			means	caused by			# Q 433		fae5-1f95-1138-9bc4	
each			is similar to	individual			#1852		a471-beb6-2026-401e	
Earth's plates			means	tectonic plates					75e6-403b-649e-cce8	
electrical current			means	electrical energy			# Q 915		a505-f059-e395-cad8	
electricity			means	electrical energy			# Q 455		5657-c6bc-e6cd-ae38	
endangered			means	low population			#564, move to AVR	moved to AVR	0fef-7e32-1ffb-c146	
exercise			means	physical fitness					fd56-73df-1f6f-e1bc	
fall			means	autumn					6145-6448-7c22-836f	
fast			means		to move	quickly	#769	Low quality. All uses replaced.	2b82-432b-89c8-e6bc	
fast			means	quickly			#2094		be5b-b488-31a4-416e	
feature			is synonymous with	characteristic 			# Q 919		480d-24f6-cd70-5644	
flat			means	level			#1342		1d4f-7b26-a32f-d1df	
food web			is synonymous with	food chain			# Q 46		349d-dd0e-2deb-7b57	
forest			is synonymous with	wooded area					6f69-e8ea-c102-e065	
form			means	kind			#1310		7c96-f704-e51e-1678	
fossil			means	preserved remains of ancient organisms			#357		c527-3fa0-13ee-6b34	
fragrance			means	smell			# Q 1560		5ed4-1803-24c0-ee4b	
freezing			means	cold temperatures			#315		96a8-ac07-e165-b0ff	
freezing point			means	temperature	at which a liquid freezes; below which a liquid freezes		#754		bb18-f19f-69ba-8bc6	
freezing point			is similar to	melting point			#1830		933d-6b9a-7b84-d664	
frozen			means	solid			#1361		8f51-a7cd-6829-c91f	
function			means	job			#836		5bed-2cfd-fe4d-324e	
function			is similar to	purpose			#728		213d-225f-ebb9-d228	
garbage			means	waste			#709		90eb-c6e6-6838-9461	
generally			means	usually			# Q 1163		4403-18c7-fe87-324a	
good			means	positive					fc64-bcd7-4282-619e	
gradual			means	slow; over time			# Q 1740		2ca4-e07e-d662-09c9	
grassy			means	high amounts of grass			#296	No uses. 	0788-a397-48ee-e545	
gravity			means	gravitational pull; gravitational energy; gravitational force; gravitational attraction					a6ed-d678-af19-2281	
greatest			means	largest; highest; most			# Q 104	Moved to AVR.	f444-cd98-58d4-4e0b	
ground			means	floor					5105-d3dc-d7ed-6fa3	
H2O			means	water					3f09-79e2-1e7d-1099	
habitat			is similar to	environment			#459		1800-f69c-1283-7d49	
hair			is similar to	fur			#1633		ee27-6897-25e9-a3e2	
harm			means	danger			#738		da8e-d915-e5af-ae29	
harm			means	injury			# Q 2138		4670-75b2-3866-eff9	
heat			means	heat energy			# Q 127		4710-c993-7a19-bef2	
heat			means	the transfer of thermal energy			#1083		74c9-ce13-0e8d-4a29	
heat energy			is synonymous with	thermal energy			# Q 239		ae86-c631-e4ad-1669	
help			means	advantage			#459		56cd-812e-1e24-c47a	
herbivore			means	first-level consumer			#1688		5706-62c6-1f2a-6e18	
high			is similar to	increase			#433		53d0-8110-c683-52da	
high			is similar to	above			#1330	Low quality. Refactored as AVR. 	c774-8a94-94ad-2442	
high speed			means	fast					adc7-ca07-3764-a868	
high-quality			means	positive			#1638		ec58-f0e9-1560-01c8	
history			means	the past			#1450		4e56-9d2d-b627-f9b1	
home			means	where a living thing	lives		# Q 1104	Moved to PROTO-HABITAT	9c10-118c-8b0c-f834	
how many			means	what number			#470		b4d5-fb67-e195-7606	
how something 	appears		is	how that something 	looks		# Q 211		2d89-0117-6ce2-b5bf	
hypothesis			means	scientific guess about the cause and effect of an event			#1413		4cb2-9f64-ed27-e619	
ice crystals			means 	ice			# Q 214		7d2c-48ac-99ed-8384	
	to identify		means		to discover		# Q 132, is okay?		2e6a-b783-f0c4-7809	
image			means	visual depiction of an object			#1422		004b-3c8c-0f5d-2873	
impact			means	effect			#327		8b85-9aff-8362-b0d3	
inclined			means	sloping			#547		e97b-b975-daf9-dfc2	
increase			means	more			#529		19f5-4162-4c01-59aa	
inexhaustible			means	always available			#2018		01bb-da65-ecdd-404c	
inexhaustible resource			is similar to	renewable resource			#1892	Moved to KINDOF	267c-eccb-d689-03f9	
inhibitor			means	something	that prevents something from happening		#1303		1ec2-4fac-096f-d2fc	
instrument			means	tool			#188		a0d5-68ec-fccc-fd82	
an instrument			is	a piece of equipment			#1885		69d1-9751-6050-3017	
insulator			means	good insulator			#1027		5733-18d0-8191-c1ce	
intensity of sunlight			is similar to	amount of sunlight			# Q 211		b9f5-6d14-f72a-e2d8	
jet stream			means	air current			#336		4e8c-54ec-dbb8-6592	
kg			means	kilograms			# Q 104		af4f-9f98-18bd-5b14	
lack			is similar to	low; little			#564		c477-accc-502e-618d	
landform			means	surface feature; physical feature; land feature			#1261		ecdd-241e-c5c7-d03b	
largest			means	greatest in length			#441	Low quality. All uses removed.	fbd5-1772-08f8-53ad	
left out of			means	moved from			# Q 90 		8854-3e45-f39e-81a8	
length of time			means	period of time			# 277		39e6-6d8b-2d69-786c	
less			means	a reduced amount			# Q 44		26bf-d2db-4fdc-53f6	
life			means	living things			# Q 60		b199-e899-31a4-afb8	
light			means	light energy			# add context?  (NN_light instead of JJ_light)		4201-f5ef-6bd3-f5b4	
liquid	carrying	an object	means	liquid	pushing	an object	#730		2634-87a7-680f-783f	
little			is similar to	decrease			#1008		8697-e00d-4b6f-7a62	
little			means	small					3f9d-3d9c-0d39-6b31	
live birth			means		to develop inside the mother instead of an egg		##332	Moved to PROTO-ACTION	66a7-eed2-2b44-e376	
loss			is similar to	removal			#1015		fa82-e6b0-0b60-b7ce	
loss			means	reduction			#1282		d4c3-b1cd-df89-8bac	
lots			means	much			# Q 213		7452-c8f0-f7ce-4dc5	
low			means	down			#191		bb86-d5e0-0c1d-3fba	
low			means	low in elevation;low in height; low in altitude			#819	Moved to AVR.	f0fc-c7a3-105f-cfa0	
low			is similar to	decrease			# Q 258		341d-e635-d3a7-a6a2	
lower			means	less			# Q 213		e258-cdba-6488-1460	
lowest			means	least			#567,move to AVR	Moved to AVR.	b846-08e5-5905-4c01	
magnetic force			means	magnetism			#251		8731-96ec-1a7b-d0c9	
mass			means	amount of matter			#551	Moved to Proto-Measurements	ff81-eff6-c10d-1a3d	
mass			is similar to	size			#730		fce7-68b6-85e3-5884	
material			means	substance			#1873		efac-0ec0-58dc-8f9e	
melting point			means	temperature	at which a solid melts; above which a solid melts		#1408		fa8f-6c8e-1364-1b72	
metallic			is similar to	shiny			# Q 912		5c9f-a48a-692d-9500	
metamorphosis			means	complete metamorphosis			#1321		ebfe-a509-ebca-1272	
mixture			means	solids	combined together	that maintain their physical properties	#1081		c189-3469-1888-aa1f	
mL			means	milliliters					46bc-bca8-b945-8327	
moisture			means	liquid; liquid water					bffa-0cd0-0745-6d03	
more likely			means	increased likelihood			# Q 1127		4850-3bd5-960b-0b9a	
motion; movement			means		moving; to move		# Q 408		d8a3-10bb-9aea-178a	
NaCl			means	sodium chloride			prop-chem-elemsymb	SW 1952-65eb-838d-2426	fe4e-30b4-4a07-3f35	
nature			means	a natural environment					3a09-2b75-9bf0-dd93	
near			means	close			#4		e190-4a9b-1d22-3bef	
newborn			means	just born			#1029		6572-f053-aaa7-25ce	
newly hatched			is similar to	just born			# Q 622		a66c-c627-522c-4e3a	
nighttime			means	night			#1247		27e6-0bf1-bc03-7f66	
noise			means	sound					b569-cef5-65a2-2a57	
non-contact force			means	force	that does not require	contact between objects	#1460	Moved to AFFORDANCES	6dcb-19bd-5836-92d6	
nonrenewable resource			means	limited resource			#1232	Moved to Proto-Properties-Things	6a49-debe-d849-99a2	
O2			means	oxygen					87eb-3d9a-8306-d0e7	
ocean shell			means	seashell			#2023		3546-9da0-47ff-c78b	
odor			means	scent			# Q 1113		5be2-5169-c01b-4cf6	
often			is similar to	likely			# Q 1571		55de-6e39-fe84-2395	
once per			means	every			#1062		ddb0-b569-92c2-503c	
organisms			mean	life			#1259		0d33-7089-468d-fd4b	
oxygenated			means		having	oxygen			7a7b-fa49-24fc-ce30	
pair			means	two			# Q 909		3196-d7c7-bf24-9fbb	
period of daylight			is synonymous with	amount of daylight			# Q 303		80ed-85da-37fe-1633	
person			is synonymous with	human			# Q 390		9d3e-05a6-f555-db18	
phases of the Moon			means	the Moon's appearance	changes		#2123	Moved to CHANGE table	ef4a-3f19-18d1-b332	
physical state			means	state of matter			#1092		fb57-e33b-b44f-8545	
pine needle			is similar to	a leaf			#840		b97b-83c9-4e07-41af	
place			means	area			#532		c4f5-f802-6c1a-1448	
place			is synonymous with	location			# Q 2142		ba38-575d-6353-ec1a	
place; location			is synonymous with	position			# Q 1576		a989-b05f-cf6d-e8ee	
plant and animal matter			means	organic matter			# Q 10		9acd-957d-4cb7-9725	
pollinator			means	pollinating animal			# Q 80		6baa-61fa-ccac-43d0	
population	increase		means	more	survive 		# Q 900		6661-099d-ac05-1f21	
population			means	number of a species in an environment			#823	Moved to Proto-Measurements	9436-9e60-42a7-27b6	
potential energy			means	stored energy			#541		7bb2-425e-c7fe-c044	
potential energy			is	the energy an object	has	due to its position	#1669	Moved to Proto-Measurements	b76f-dd6b-9cae-45f6	
prehistoric			means	before 300000000 years ago			#1412		bb85-0f6e-6d4c-f342	
preserved			means	from the past; from long ago			# Q 925		f3c5-da85-408b-e3f5	
	producing		is similar to		causing		#416		db49-234a-263a-3d1c	
purpose			means	role			#701		f2ae-4200-68be-15fd	
quantity			means	amount			#772		865d-b114-6f4e-b503	
rainstorm			means	rain storm			#325		fb92-b17a-c650-08cf	
rainy			means	often	raining		# 821		db16-ef7b-0d18-2435	
rapidly			means	quickly			# Q 666		abd9-cbba-5137-2c93	
recent			means	close to present time			#740		5af8-ed0d-690a-97dd	
remains			mean	parts of a dead organism			#1819		5d86-6036-9920-2c88	
replacement			means	something that is replaced			#1265		10b7-ffcd-cb06-c86d	
	requiring		is similar to		needing	help	#474		bf2f-e380-be4e-ca06	
rock			means	stone			#1396		b968-ddd7-0e2c-e2b1	
role			means	niche			#1806		d45a-1ff6-3dcb-846d	
role			means	function			#1853		d11b-6226-0d28-588a	
role			is similar to	importance			#2058		4b40-ee0e-7e5d-23f3	
same			means	identical;equal			# add parameters?	Moved to AVR	4a40-0416-4a17-b806	
same			means	indentical; equal			# 1183	Moved to AVR	8a30-a07f-d83b-555d	
sand			is similar to	soil			#417		9151-af14-f370-f540	
sea			means	ocean			# Q 249		eea5-0a22-fd84-0a3b	
season			is	a major yearly temperature change			#1697		0ae5-7e63-0d02-bd6a	
sediment			is similar to	soil					1039-d8f3-b11c-3d03	
sidewalk			means	pavement			#1482		738a-36ed-7284-dfa2	
sight			means		to see		#175		a6d5-5b11-21f7-80bd	
sight			means	vision			# Q 1790		9150-2d08-9c54-5af3	
similar			means	in common			# Q 1556		0342-b4ed-ed5d-6fdf	
single-cell organism			means	unicellular organism			#1336		3a25-1c51-791f-6ec7	
size; amount of space			means	volume			# Q 197		3949-4114-a899-79d8	
smell			means	scent			# Q 1113		c2ba-3d60-d903-52af	
solar radiation			means	solar energy			#1019		ef29-744a-92a8-f884	
solution			is similar to	a positive impact			#2043		10ba-91e7-e31b-c025	
something	being destroyed		means	that something	no longer exists		# 699		c341-b68a-f32d-9180	
something that contains water			is similar to	a body of water			# Q 148, okay?		60d1-d074-940b-f067	
sound			means	sound energy					4013-87f5-6cc4-127f	
sound waves			means	sound energy					7bc3-ba5f-c9ed-09c6	
species			means	a group of like organisms			#767		2171-5edd-a3d0-f2c2	
spot			means	location			#482		fd5d-4f6f-067b-1ef0	
state			means	form			#849		29a1-5acf-45b5-3b06	
state of matter			means	physical state			#1425		fbbf-2df4-a9ce-da1f	
sticky			is similar to	moist			#1214		3470-556f-94c8-3297	
stronger			means	positive			# true?	Moved to AFFECT. 	f13a-4b2a-3541-301e	
structure			is similar to	shape			#1475		0337-38c2-e9b5-2f97	
sunlight	shining		means	sunlight	is provided		#842		4215-7e38-54ca-e2fa	
sunlight			means	solar energy					6759-5ee2-140f-df48	
sunshine			means	sunlight			# Q 668		ddec-2da8-94e4-38ab	
surroundings			means	environment			#1025		9758-674d-e771-6866	
survival			means		to survive		#241		6b14-8236-7175-c193	
technology			is similar to	tool			#2091		3dbd-97fe-20bf-4ba3	
temperature	drop		means	temperature	decrease				b47e-30f2-aa9b-999f	
temperature	drop		means		become	colder			43bb-2d2b-dd45-1c67	
temperature	drop		means		cooling				7b61-fb62-acc5-a7f7	
temperature	rise		means		become	warmer			4867-4ad0-0164-d368	
temperature 	rise		means	temperature	increase				17ff-5bac-df42-a1b4	
texture			means	how an object feels			#169		6c86-9d15-6ab9-f4c3	
the color of an environment			means	the color of the things that environment contains			#459		d38a-c7d6-bb88-dd4d	
the function of something			is	what that something 	is used to do		# Q 145		3e2e-e065-36c0-898c	
the ground			means	Earth's surface			# Q 1510		e3ac-61ec-4ae4-2d5b	
the Moon			is	Earth's moon			# Q 69		cb34-8d7a-925d-de4d	
together			means	in a group			#1852		170f-aad5-f04c-f90d	
too much			is similar to	increase			#2085		9bfc-4749-e4ab-177c	
tool			is similar to	appliance			#1314		a4d7-3501-4254-109e	
topography			means	the physical features of a planet's surface			#1885		b22b-e4b1-9ec5-4b97	
toxic			means	poisonous			#1445		d213-eeb4-7ba2-40ca	
trait			is synonymous with	characteristic					1112-d2ae-a1f5-ffb6	
trash			is synonymous with	waste					470c-0013-8541-1f5a	
type of moon; kind of moon			means	moon phase			#1459		f706-d251-d2c7-c788	
ultraviolet rays			means	ultraviolet light			# Q 1901		0bfe-6bc5-5887-4c10	
under water			means	covered by water; in water			# ?V		9b52-2462-8b7d-a431	
underwater			means	below water			#1045		378e-3052-e593-d80f	
used for			is similar to	help			#771	Use different entry for increased readability.	4f7d-dbfc-da33-6135	
useful			means	good	to use		#1421		de5c-79d3-c81b-31e5	
usual			means	normal			#1324		fee8-4b0a-3141-7a55	
usual			means		happens frequently	over long periods of time	#1324		a2b0-e5a4-b83e-1eda	
usual			means		does not vary much		#2185		3711-f792-5151-2c3a	
UV			mean	ultraviolet			# Q 1901		f34d-332a-9caa-46f3	
vapor			is synonymous with	gas					876f-dbeb-2f53-1d96	
variable			means		able to change		#538		e827-2672-6e8f-f977	
variety			means	different kinds; different types			#1470		0bbd-c06e-f04f-4a91	
vegetation			means	plants			#1412		b5f5-69f4-c4e2-6552	
visible			means		able to be seen		# Q 912		be45-3cb8-edbc-dd56	
warm			means	warm temperature			# further break apart? 		03e0-14b7-ecf9-28e4	
warm			is similar to	hot			#433		05d2-d1e3-489a-8716	
weather			means	condition of the air outdoors at a certain time			#496	moved to MEASUREMENT	3f81-09e1-5ec1-00e5	
well-suited			is similar to	adapted			#741		c21a-180f-0328-7e72	
where something 	comes from		is	a source of that something			# Q 911		9331-ece9-c87a-1358	
wildfire			means	forest fire			#816		255a-e572-50e2-f8e5	
wind			means		moving	air	#1414		33f1-c7fb-094b-0129	
a wise choice			is	a good choice			#1836		ce9a-e289-c85f-4580	
woodland			means	forest			#816		75b7-e55a-c950-379a	
work			is	a product of force and distance			#1668	Moved to Proto-Measurements	1cc8-7b3f-a8b5-e495	
yearly			means	every year			#296		a6c5-e31b-ddaf-3dcf	
young			means	immature			#1022		a272-e249-f73b-8af7	
	absorbing	something from the air	means		removing	that something from Earth's atmosphere	# Q 1183		d8c7-2c45-02f6-ba6c	
	absorbing		is similar to		obtaining		#1426		b743-7f87-6ef1-0c33	
	adding	heat	means		increasing	temperature	# 833		7d37-b81d-0cf3-9ae0	
	affected		means		changed				c661-ed40-80e0-0a4a	
	affecting	an organism's niche	means		affecting	that organism	# Q 1939		bce4-df52-f2cd-485c	
	applying	heat	means		adding	heat energy			888f-d3a6-9ba4-efbd	
	assembling		means		putting together				48ed-395e-8d30-edb4	
	attract	a mate	means		find	a mate			f25a-4bc3-30c4-ec0b	
	avoiding 	predators	is synonymous with		avoiding	being eaten	# Q 1104		c99b-8602-1fb4-444d	
	baking		is similar to		cooking		# Q 68		3006-985a-1294-98df	
	become	warm	means		get	warm	# Q 1545		eaf4-5337-8873-bbfd	
	become	cold	means		get	cold	# Q 1545		1b1f-6621-ffb4-727c	
	become prey		means		get eaten		# Q 960		290b-426c-c0a3-ebb6	
	becoming		is similar to		changing		#1034		e715-7f30-5489-dad1	
	being	in something	means		touching	that something	# Q 221		4e2c-c684-660e-fcbe	
	being 	on something; placed in something; placed over something	means		touching 	that something	# Q 53		4d0b-497e-6a7f-bfca	
	being around	something	means		surrounding 	that something 			5365-b516-685c-e809	
	being in the sun		is synonymous with		being in the sunlight				3686-5795-31e5-b5e0	
	being made of	crystals	is synonymous with		having	a crystal structure 	# Q 613		7146-f88d-9166-0691	
	being used for		is similar to		providing		# Q 1102		c905-3709-1ccb-3bb6	
	better		means	good			#381		e4df-dd99-74d8-ede4	
	blending in		is synonymous with		hiding				d861-52a2-6067-0722	
	bouncing	something back	means		reflecting	that something	# 1320		1ae4-77c6-e2a0-c6f1	
	bouncing off		is similar to		hitting		#1844	Low quality. All uses removed.	07d7-abb7-42ae-42cd	
	break apart		means		break down				518b-ce25-7fb9-adfb	
	breaking	a part of the body	means		breaking	a bone in that part of the body	#1665		ea4f-ca58-7c19-5dba	
	can		means		having	the ability to	# Q 1991		ead8-a51c-1949-4d56	
	can be		means		able to be		# Q 912		c082-5c74-d788-63a8	
	carrying	something	means		moving	that something			bc1e-c759-27c8-5ae3	
	carrying		is similar to		conducting		# Q 1988		d8ee-4d4e-e9bb-141e	
	catching	something	is synonymous with		obtaining	that something	# 562		08a6-a188-ffd9-a822	
	causing		means		influencing		# Q 208		bd85-00ef-0005-e205	
	clearing	a forest	means	humans	cutting down	the trees	# 981		dc7e-8241-c2cf-b10a	
	clearing		is similar to		removing		#300		4831-646d-8648-0fa7	
	collecting		is similar to		absorbing		#1619		a093-71c4-2022-ea98	
coloration			means	a pattern of colors			# 1095		ec67-fb28-a332-b260	
	to combust		means		to catch fire				9713-a39a-3a6d-fee6	
	come down		is similar to		falling		#1353		fe06-26b1-978b-9642	
	coming together		means		forming	a group	# Q 1705		ce17-cba7-7d77-4228	
	communicating		means		sharing	information			6ae0-d900-5f59-8e85	
	composed of		means		made of		# Q 463		3e18-eada-4a5f-aeef	
	condensing		is similar to		collecting		#848		432d-ac14-4894-0314	
	condensing		means	liquid water	coming together	in the air	#1047		8f56-5eff-5f75-8478	
	contain		is similar to		store		#1354		49fd-6aeb-83eb-c25c	
	containing	something	is similar to		providing	that something	#1661		fca7-758b-0a9d-3bdd	
	containing	something	is similar to		holding	something	#1646		f128-d566-1e55-83b4	
	contains		means		located in		# Q 67		c12c-929a-973c-af3c	
	controlling	insects	means		killing	insects	#2043		c584-6259-5120-68ef	
	controlling	the amount of pollution	is similar to		reducing	the amount of pollution	# Q 2160		f3f1-5a52-e200-585a	
	converting		is similar to		releasing		#728		3d01-b0f9-5de8-8952	
	converting		is similar to		producing		#1313		0308-b556-3182-b793	
	counter		means		reduce; stop; resist				6650-9806-5c50-ff4e	
	counter		means		resist		# Q 982	DUP. All uses replaced. 	b823-2561-3282-e61b	
	creating		means		making		# Q 447		aa59-adf0-0e19-8b9e	
	creating		is similar to		causing		#1471		a2c1-212a-a4bc-11d8	
	crumble		means		break down				d359-7f22-ccdd-5f26	
	cutting down	a forest	means		cutting down	the trees in that forest	# Q 306		10fd-451d-ea1e-99fa	
	destroying	a forest	means		cutting down	the trees in that forest	#1018		89d2-2796-1e94-3b10	
	detecting		is similar to		observing		#498		0e17-84f1-a9f9-f27f	
	developing		means		making				ecde-2a46-6004-aa33	
	developing		means		creating; inventing				450b-d1e6-d7b9-2e6b	
	developing		means		growing				861e-c96c-1742-1b23	
	die out		means		become extinct		# Q 695		e9b3-b8bf-2377-2ad4	
	digest	food	means	stomach acid	breaks down	food	# Q 905	Moved to PROTO-ACTION	fe53-2693-639a-d348	
	disappearing		is similar to		decreasing		#2119		aa0a-838d-7fc9-a918	
	dissolving		is similar to		breaking down		#1802		5404-b04d-d0b2-6309	
	drop		means		decrease				caa8-0bac-3d0b-ba58	
	to drop		means		to fall				4331-2b1f-b2b3-343c	
	drying up		means		losing	all water	# 1047		33d8-6fe3-b609-c1a4	
	dumping	something in an environment	means		adding	that something to that environment	#1445		e4d1-f502-402f-4ce9	
	eating	an animal; a plant	means		killing	that animal; that plant	# 169		785b-6d16-8fc8-ee28	
	emit		means		produce				9ecf-063e-892a-c7fa	
	emit		means		send out		# Q 910		bbbb-aba3-ad5e-4aa0	
an enemy			is	a threat			#1499		b5bc-352e-4a8b-390a	
	escape		means		avoid				e8a0-a094-ce7d-d761	
	event		is similar to	action			#2012	Moved to KINDOF.	3139-56d1-6304-2441	
	expand		means		spread out		# Q 201		5d92-c150-1789-1c17	
	expand		means		increase	in size	#421		1fc6-7784-ccd9-4fd5	
	finding	something	means		locating	that something	# Q 1180		157e-8f35-f478-8797	
	flipping; pushing	a switch	means		using; activating	that switch	# Q 1956		a775-5562-6d10-17d6	
