[FILL] a	QUANTIFIER	OBJECT	[FILL] is formed by	AGENT/PROCESS	VERB	PATIENT	[FILL] for	FOR/PURPOSE	[FILL] by	BY/THROUGH/HOW	SCOPE	QUANTITY/RANGE	[SKIP] COMMENTS	[SKIP] DEP	[SKIP] UID	
	many	types of molecules	can be formed by	carbon					with	covalent bonds			#2364		90e3-8393-1331-ca12	
		lakes	are formed by	precipitation and runoff									# Q 2498		01b9-c0ac-f759-aa89	
		chemical bonds	are formed by		chemically combining	elements; atoms; molecules							# Q 2706		852e-d558-aefd-b057	
		a solution	is formed by	one substance	being dissolved in	another substance							# Q 2723		c803-33fe-2283-daa2	
		high mountains with well-rounded peaks	can be formed by	collision of crustal plates; erosion									#2620		36f1-05fd-2bf9-aeba	
		different classes of rocks	are formed by	different methods									#2636		2869-d2ab-bfe7-d8af	
		sedimentary rocks	are formed by	deposition; cementation									#2688		9413-02dc-6401-f7c4	
		sinkholes; caves	are formed by	precipitation; infiltration									#2877		6c12-6d3d-68c1-e643	
		cancerous cells	are formed by	abnormal cell division									#2889		8b34-c608-11eb-74bc	
		new cells with a full set of chromosomes	are formed by	fertilization									#2909		c865-02c1-01f6-3a81	
		boulders; sand; gravel	are formed by	glaciers	melting						sometimes		#2960		f41a-9eca-4647-75e1	
	sometimes	rocks	are formed by	quartz; feldspar							mixed together		#2970		a6b6-ff30-0700-72a2	
an		image in a mirror	is formed by		reflecting	light							#3021		c272-f462-6ab4-8499	
		sediment	is formed from	rock	weathering								#3145 duplicate	SW 5645-74d9-19c8-9dc4	9781-488e-fa55-705b	
the		surface of a beach	is formed by	mechanical weathering									#3240		640b-1344-4e64-487d	
a		black hole	is formed by	a high-mass star	collapsing								#3272		2961-71b9-ef97-6663	
a		whole	is formed by	its parts									#3315		5666-ae28-c545-843c	
		vein deposits of gold and silver	are formed by	igneous intrusion									#3326		3f66-b89a-1a47-f96e	
an		allele	is formed by	mutation											b5af-096a-4c9b-b9c8	
an		mixture	is formed by	two or more substances	combined together						physically				9247-2bc4-e950-d3dd	
an		ion with negative charge	is formed by	atom 	gaining	electrons									c149-dc55-e10f-22fd	
an		ion with positive charge	is formed by	atom 	losing	electrons									39cb-3fd1-83ad-822d	
an		oxygen ion	is formed by		gaining	2 electrons									13d6-3481-6cb8-bdaa	
a		wave	is formed by	the vibration of the source	spreading around						from the source				b304-630d-e68f-17cb	
		ATP	is formed by	the breakdown of		molecules					of glucose				c80f-72f2-0a81-f42a	
a		star	is formed by	collapsing clouds of gas and dust											a840-b422-eb41-d3fc	
a		supernova	is formed by	a star	exploding; collapsing										81c7-6e68-5d00-0b67	
a		meteorite	is formed by	a meteoroid	impacting	the surface of a planet									77d4-044b-9c3e-9188	
		sulfur dioxide	is formed by	the combustion of fossil fuels											d4ac-e69f-474a-08ed	
		geothermal energy	is formed by	magma	heating	Earth's crust									64e8-5ddc-3075-fe6e	
	some	ponds and lakes	are formed by	surface mining											ea2d-878e-5722-5725	
		ionic bonds	are formed by	electrons	transferring	among atoms									376b-8d26-e8a8-9582	
a		mountain range	is formed by	the plates; rocks	folding 					upon one another					1bfd-b743-4b59-e466	
		mountains	are formed by	the interaction		between the asthenosphere and the lithosphere									ae4a-7bc4-31fd-d0ca	
a	sea	cliff	is formed by	erosion						by	waves				5d70-46c8-2211-a7c6	
a		desert	is formed by	desertification											3f2d-34b5-0514-5ab4	
		sinkholes; caves	are formed by	chemical weathering											2950-8507-d559-1962	
		cone-shaped mountian	is formed by	molten material	forming layers										b786-defa-2ffa-a7fe	
		volcanoes	are formed by	converging boundaries	of tectonic plates										385d-0fa8-4890-0123	
		halite	is formed by	a body of salt water	evaporating										0b00-9a00-fb28-b00d	
		sedimentary rocks	are formed	in layers											33e2-6f52-c8c1-df67	
		organic sedimentary 	is formed by	the remains of organims and sediments	compressed together										a73d-1e73-83e0-424d	
		U-shaped valley 	is formed by	glaciers 											88b5-2906-5de2-fb01	
		land forms	are formed by; are created by	destructive forces											819f-f64d-72c0-1ecc	
		sandbars	are formed by	long shore currents	moving	sand									0a4e-97e3-1657-939e	
		protons; neutrons	are formed by	nuclear fusion											2aad-eed1-c229-9318	
an		aurora	is formed by; is created by	charged particles	interact with	magnetosphere									4332-8160-01d0-0924	
a		lunar eclipse	is formed by	Earth's shadow	falling on	the moon									b617-9cb8-afab-68ac	
		temperature inversion	is formed by	ground temperature	cooling						rapidly at night				a679-82bb-fba2-d1d6	
	sometimes	sinkholes 	are formed by		removing	underground resources									569f-00ff-79a3-afc6	
		metamorphic rocks	are formed by	rocks	being exposed to	extreme heat and pressure									3e93-0ac5-8049-440f	
