ACTOR/WHO	QUANTITY	VERB	OBJECT/PROPERTY	QUALIFIER1	[FILL] has a 	QUALIFIER2	POSITIVE/NEGATIVE	[FILL] effect/impact on/for	ADJ	PATIENT	[FILL] by/through	BY/THROUGH/HOW	SCOPE	QUANTITY/RANGE	[SKIP] COMMENTS	[SKIP] DEP	[SKIP] UID	
			mutualism		has a		positive	impact on	both	organisms			in the relationship		# Q 2536		e828-1829-587b-6456	
		making	products for cheaper		has a		positive	impact on		manufacturing					# Q 2739		4ec9-cb2d-67f9-f9d8	
disease					has a		negative	impact on		an organism					#2600		834c-378f-a471-62e0	
		limiting a source of something tht has a negative impact on something else			has a 		positive	impact on		that something else					#2697		c796-8fda-c7b3-283c	
the temperature; pH			of a body of water		has an			impact on		the health			of a body of water		#2800 scope needs to be changed (into the body of water or something similar)		faf0-8d6f-e670-231d	
the unhealthy diet			of a mother	during pregnancy	has a		negative	impact on		the embryo					#2853		f061-31ee-a76d-b215	
		being	unhealthy		has a		negative	impact on		an organism					#2853		22c5-2adb-e072-a6a2	
water vapor					has an			impact on	weather	conditions			associated with an air mass		#2903		12c7-b9fb-958a-b4af	
disease-causing microbes					have a		negative	impact on		the body					#29010		a97a-accf-dfe8-2c54	
volume					has		no	impact on	boiling; melting; freezing	point					#2925		eb43-fbe4-985f-86c2	
		decreasing	something positive		has a		negative	impact on		a thing					#2984		cd65-7946-96d7-6119	
a problem; a concern					has a	possible	negative	impact on		a thing					#2987		b6cd-be94-b334-d1e1	
damage					has a		negative	impact on		a thing					#2987		2289-d1d9-6a20-333c	
		using	less energy in the home		has a		positive	impact on	a family's	finances					#2993		8cb3-fffa-3fb9-80f9	
decay					has a		negative	impact on		a thing					#3082		3cce-8397-6341-14f5	
		threatening	the existence of an organism		has a		negative	impact on		that organism					#3163		2990-0119-6a52-6524	
		sucking	blood from an organism	usually	has a		negative	impact on		that organism					#3184		fd1b-8bc3-bb86-5cd9	
danger					has a		negative	impact on		a thing					#3187		b47e-ea0d-0cf1-7b4c	
		having	a job		has a		positive	impact on		a human					#3285		7a0a-a961-283b-9786	
allergies; asthma					has a		negative	impact on		a human					#3295		d0ce-d199-2769-cf2a	
		absorbing	something harmful		has a		negative	impact on		a thing					#3362		647a-10a8-1a45-28e1	
intense heat					has a		negative	impact on		an organism					#3362		af69-a7e7-5086-7c35	
mass					has		no	impact on	boiling; melting; freezing	point							5ab1-a5c2-3701-58e0	
size of the object			attracted by the electromagnet		has		no	impact on		the strength of the electromagnet							e8a3-044c-e1b8-32ee	
		removing	the coal from Earth's crust		has a		negative	impact on		biosphere							4784-31f6-1386-a310	
solar winds					have		less	impact on		the Jovian planet					comparison	SW ab60-af11-efaa-d611	054a-fc5f-9254-676a	
		being exposed	to the ultraviolet light		has a		negative 	impact on		living organisms							9f87-a87e-a40b-c997	
extinction					has a		negative 	impact on		an ecosystem							b43b-51f0-d4f4-fd95	
		destroying	animal habitats		has a		negative 	impact on		an ecosystem							59fd-422e-5b6f-40aa	
steep drop in ocean volume and area					has a		negative 	impact on		the ocean ecosystem							9bb7-8e6c-9337-6bca	
heat					has a		great; big	impact on		weather					great impact?		4820-74c3-f28d-8918	
the type of soil					has the		greatest	impact on		plant growth							9fad-4631-7ac7-b987	
a decrease 			in soil fertility		has a		negative 	impact on		environment  							4818-fc4f-65c7-8598	
global warming					has a		negative 	impact on		environment; organisms							df4c-4ccc-d375-0191	
surface mining					has a		negative 	impact on		the lithosphere; the biosphere; the ecosystem							82a5-5e1e-7762-dfc4	
		wasting	a resource		has a		negative 	impact on		the resource							0195-aa58-38d7-f3bb	
physical adaptation					has a 		positive	impact on		the population; the survival; the reproduction			of a species; of individual organisms				5d54-ce98-822d-70e0	
behavioral adaptation					has a		positive	impact on		the population; the survival; the reproduction			of a species; of individual organisms				7e7e-d5fc-9eed-018f	
adaptation					has a		positive	impact on		the population; the survival; the reproduction			of a species; of individual organisms				624d-8aa4-92e4-8faa	
		using less of	a resource		has a 		positive	impact on		the resource							e9de-4838-ee51-4b02	
rich nutrients					have a		positive	impact on		algae; phytoplankton							04a1-58cd-53ee-80b2	
nitrate levels					have a		negative	impact on		the health			of a river system				fc55-35a0-19ff-8876	
turbidity					have a		negative	impact on		the health			of a river system				c317-de40-fe64-2eab	
