[FILL] a/the	HYPONYM	[FILL] is a kind of	SCOPE1	HYPERNYM	[FILL] for	FOR/PURPOSE	BY/THROUGH/HOW	SCOPE2	QUANTITY/RANGE	[SKIP] COMMENTS	[SKIP] DEP	[SKIP] UID	
	candy	is a kind of		dessert								64b0-c692-7001-4ab6	
a	canyon	is a kind of		landform						#1208		9391-2a1e-2e67-95b9	
a	canyon	is a kind of		place						#357, low quality?		fa65-d947-a5a2-2d1f	
a	car	is a kind of		object						too specific? (should traverse taxonomy?)		fe6e-84fa-d289-aee9	
a	car	is a kind of		vehicle								c1de-b3ef-e1c4-0087	
a	car	is a kind of		automobile						#2972		eb14-f908-f76d-7cf0	
a	carbohydrate	is a kind of		compound						#3088		d6cd-1a0c-a91b-726d	
	carbon	is a kind of		element						# Q 2706		2ae6-3458-f1d9-a724	
	carbon dioxide	is a kind of		gas								96ff-31bb-ea13-9aff	
	carbon monoxide	is a kind of		gas						#1840		1a38-d031-a283-b5aa	
a	carbon monoxide detector	is a kind of		instrument	for	warning people that carbon monoxide is present		in a building		#1840 MOVE TO USEDFOR		f68e-fb11-a7b3-a72e	
	carnivores; omnivores	are a kind of		predator						#406	Moved to PREDATOR-PREY	5ac1-2d58-618c-3cda	
	carnivores; omnivores; herbivores	are a kind of		animal								c709-83dd-975c-b05d	
	carpet	is a kind of		material						#1009		7c86-786b-68dd-de35	
	carpooling	is a kind of		activity						#2038		7e0c-4aad-052d-7c9c	
a	cart	is a kind of		object						#2844		d7fc-211b-9969-c2cd	
a	cat	is a kind of		animal								1700-a363-df25-ad34	
a	cat	is a kind of		mammal								55b1-c3f1-bdb8-826d	
	causing	is a kind of		affecting						#1315		9d53-7320-d186-07d9	
	causing	is a kind of		function						#1635		da58-addb-0630-0b89	
a	cavern	is a kind of	land	form						#1089		34ab-0980-7a15-537e	
a	ceiling fan	is a kind of		fan						#760		6637-e41b-2d15-bfdc	
a	cell	is a kind of		object						#517		8370-394e-7d79-4c14	
	cell division	is a kind of		process						#3259		e239-85c0-ba15-ab7e	
a	cell membrane	is a kind of	cell	structure						#3100		b624-988e-7c08-0283	
	cellular respiration	is a kind of		process						# Q  952		57ee-2852-addc-6da0	
	cementation	is a kind of		process						#3284		16c0-ecca-a443-56f7	
a	centimeter	is a kind of		unit				of measurement		#319		cf45-38b5-9810-f308	
	centuries	are a kind of		unit	for	measuring time						0d3e-321a-b845-8dd9	
a	chair	is a kind of		object						# Q 1532		9f4c-5487-7b35-f049	
a	chameleon	is a kind of		lizard						# Q 1500		5ba5-3b3b-be24-624e	
a	change	is a kind of		effect						#871	Moved to SYNONYMY	cc98-fc9c-ba53-97d4	
a	change	is a kind of		event						# Q 1171		3a14-9cd4-c11b-d164	
	change	is a kind of		process						#2306		9408-3162-c9b2-cbd8	
	change	is a kind of		impact						#3022		0a77-0de7-45bd-60c0	
	Charles Darwin	was a kind of		scientist						#1043, okay?		3f44-34c9-edee-9514	
	cheese	is a kind of		food						#2600		f444-45e5-0e72-ba46	
a	cheetah	is a kind of		animal						#2845		fa77-8fe1-c7ba-712e	
	chemical energy	is a kind of		energy						#2020		b043-79cc-a77e-e968	
	chemical energy	is a kind of		potential energy						#3237		306b-fdd7-ee4f-c35e	
a	chemical reaction	is a kind of		process						# Q 2484		c493-daa2-d48d-4fa4	
	chemical weathering	is a kind of		weathering						#1802		43fa-1bf5-c428-cfa5	
a	chick	is a kind of	young; baby	chicken								01a2-8e37-b59a-23e3	
a	chicken	is a kind of		bird						#346		9ede-6c4b-43f2-6da3	
a	child	is a kind of	young	human						# Q 238		61f9-cfd2-20f5-992d	
a	chipmunk	is a kind of		mammal						#1363		5295-dcae-6915-29d4	
	chlorine	is a kind of		element						#Q 2228		d176-e42a-2654-8d3c	
	chlorophyll	is a kind of		pigment						#1686		ee81-d31b-b856-0729	
a	chloroplast	is a kind of	plant cell	structure						#3064		112d-7d57-4de0-714e	
	chocolate	is a kind of		solid				usually		#1392		858d-7f12-bc99-2177	
a	circuit	is a kind of	electrical	component						#1800		e112-616e-e25b-4a79	
the	circulatory system	is a kind of	human; organ; body	system						#2318		2ffa-2399-dfe2-4856	
a	city	is a kind of		location						#281		b912-4b52-7e9c-0d4c	
a	clam	is a kind of		aquatic animal						# Q 43		10ea-cf33-c978-c0fb	
	classification	is a kind of		process								c45b-915d-6c55-4e69	
	classifying	is a kind of	science	process						# Q 206		2188-2e33-82c8-5741	
	classifying	is a kind of		skill						#2874		2ebf-4f12-e896-c9a0	
a	classroom	is a kind of		a room						#412		93cb-4c9a-59c2-2cd0	
	cloth	is a kind of		material						# Q 909		8e54-4d09-bc9f-bdd1	
a	cloud	is a kind of		weather								213b-79e4-47ec-0581	
a	cluck	is a kind of		sound								d7da-64da-dcb9-a4ff	
	coal	is a kind of		fossil fuel								cab1-f3c3-59de-b682	
	coal	is a kind of		fuel								bc22-ba46-53be-ea3a	
	coal	is a kind of		nonrenewable resource							Moved to PROP-RESOURCES-RENEWABLE	2a93-fc4e-e52c-6897	
	coal	is a kind of		nonrenewable resource							Moved to PROP-RESOURCES-RENEWABLE	2a93-fc4e-e52c-6897	
	coal	is a kind of	black	rock							Moved to Proto-Properties-Things	ded4-82de-bd66-1648	
	coal	is a kind of		rock								67fa-a478-80e1-8fef	
	coal	is a kind of		sedimentary rock								ebfc-2409-7596-7174	
a	coast	is a kind of		environment						# Q 48		fcf8-5a39-4b2d-ece2	
a	coastal area	is a kind of		environment						#1343		1065-849d-5c96-0863	
a	coin	is a kind of		object						#846		8e61-1c71-239d-4814	
	colliding	is a kind of		touching						#2905		b681-c4fc-def0-a559	
	color	is a kind of	physical; visual	property								6903-1d34-3271-a6b8	
the	Colorado River	is a kind of		river								9a9a-ea53-e57f-0e23	
	coloration	is a kind of		adaptation	for	hiding;camouflage				USEDFOR		ad2f-c1c6-5368-4fcd	
a	column	is a kind of		tube						# Q 2465		645e-7548-b5f4-a6dd	
	combustion	is a kind of	chemical	change								eaad-89d5-b78f-cf5a	
	combustion	is a kind of	exothermic	reaction						# Q 1791		c647-3cc8-d585-a196	
	combustion	is a kind of		activity						#2674		8c57-8074-0882-0c71	
	combustion	is a kind of		exergonic reaction						# Q 2438		6411-2171-d003-b448	
a	comet	is a kind of	celestial	body						#1841		8357-d57c-5cff-b3ee	
a	comet	is a kind of	celestial	object						#2878		4ce6-e825-a484-607d	
	commensalism	is a kind of	symbiotic	relationship						# Q 2251		3172-d857-da0d-c1a6	
	commuting	is a kind of		activity						#2863		3d31-0094-af9f-ff66	
	compaction	is a kind of		process						#3284		f2b0-1643-c436-2209	
a	compass	is a kind of		object						# Q 107		68cd-53e7-7adb-0634	
a	compass	is a kind of		tool	for	determining direction	by pointing north			#1381		a19f-27a1-7743-9769	
	composition	is a kind of		property						# Q 463	Moved to Properties-Generic	7c91-2886-7fe7-1b47	
a	compound	is a kind of		substance						# Q 2237		fcf2-562c-5997-2086	
a	compound	is a kind of		material						#3049		b82e-26ef-8d05-15df	
	compression	is a kind of		stress						#2837		b4ea-a61e-79a5-2e41	
a	computer	is a kind of		tool						#324		da4f-8a91-c9d9-0eab	
	concluding	is a kind of		action						# Q 2520		2c26-6f77-240e-b56f	
	condensing	is a kind of		process						#2655		672f-0cc0-73d8-ae50	
	condensation	is a kind of		process						# Q 609		7faf-cb37-05f2-3e08	
	conducting	is a kind of		function						#1873		fe85-5892-7823-5d15	
	conduction	is a kind of		process						# Q 239		6d44-6295-592b-4db9	
	conductivity	is a kind of	physical	property						#1063		c41d-9ce9-3d44-e24a	
	conjugation	is a kind of	bacterial	reproduction						#3055		7e8c-498d-9f32-ea87	
	conserving water	is a kind of		characteristic						# Q 1117		489a-467c-0138-cd62	
a	consumer	is a kind of		organism						#2610		21a9-8b33-b63d-dca2	
a	container	is a kind of		object						# Q 239		299f-781c-ea28-9ce3	
a	container with air holes in the top	is a kind of		tool						# Q 1745		d6ad-b5b4-1186-0117	
a	continent	is a kind of	large	land mass						#285		070a-2fde-af8a-62a6	
a	continent	is a kind of		location						# Q 2250		2264-82fe-a380-dc00	
	contract	is a kind of		change				in volume		#538		8969-68e2-987a-8b72	
	contracting	is a kind of		movement						#3337		6a2f-1b9e-60cf-1049	
	controlling	is a kind of		function						# Q 14		52f6-322b-a00b-cf49	
	convection	is a kind of		process						# Q 1991		5608-9598-e60e-85b0	
	conversion	is a kind of		process						#3122		d3f2-e61a-32a0-2306	
	converting	is a kind of		function						#2983		2396-35fe-f677-c8fb	
	cooking	is a kind of		skill	for	preparing food						02bb-bdf2-f936-d557	
	cooking	is a kind of		process						#2330		d169-c6c9-724d-a8db	
	cooling	is a kind of		process						#1012		241c-3fd6-32cd-10e3	
	copper	is a kind of		metal								9cea-7fba-e1c5-f8b3	
	copper	is a kind of		element						#2374		6cfd-e59f-1413-76ff	
	coral	is a kind of		aquatic animal								1e73-7f0f-13b5-1523	
a	coral reef	is a kind of		ecosystem						#3365		728f-9c9e-a070-3f33	
	corn	is a kind of		crop						#1219		a75a-0651-9b8b-f087	
	corn	is a kind of		plant								44b1-c2ab-2e0d-e5e5	
	corn	is a kind of		seed								f50f-d47e-79e8-e25b	
a	covering	is a kind of		object								3aa7-2278-0849-316b	
	covering something	is a kind of		protection								3e42-533a-ed4d-c99b	
a	cow	is a kind of		animal								7579-be94-da2b-b793	
a	coyote	is a kind of		animal						#1295		1932-0d7e-562c-c466	
a	crab	is a kind of	water	animal						#519		0499-a475-56c4-8d43	
a	crack	is a kind of		opening						# Q 2157		4e89-3fff-95dc-573e	
a	crater	is a kind of	land	feature						#1004		a2aa-4c08-9194-e2ef	
	creating	is a kind of		activity						#101		0092-b671-2f6c-9726	
a	cricket	is a kind of		insect						#543		5319-76bf-8c5d-657d	
a	crop	is a kind of		food								afdc-23b1-2d30-e520	
	crops	are a kind of	edible	plant	for	eating						281b-9541-e1c7-6c92	
	crystallization	is a kind of		process						#2978		8656-e5e3-99eb-fb87	
a	cup	is a kind of	drinking	container						# Q 1744		b79e-666e-ccf1-f45c	
	curiosity	is a kind of	human	quality						#414		59db-5841-efaf-6ac5	
	curling	is a kind of		behavior						#438		41e5-6655-f98c-8696	
a	cushion	is a kind of		object						#1817		4da3-61dc-91ef-b4ad	
a	cut	is a kind of		wound						#1664		21ce-fb09-081b-a826	
	cyan	is a kind of		color								cf7f-51fc-f20a-8384	
a	cycle	is a kind of		process						# Q 1961		4330-7381-9bed-2b75	
	dairy	is a kind of		food						#1665		12e5-6d27-bff0-489c	
a	daisy	is a kind of		flower						# Q 1554		ed6a-03de-1756-b6bc	
	damage	is a kind of		harm							Moved to Synonymy	0f3b-5283-e693-63fa	
a	dandelion	is a kind of		flower						# Q 1717		3b33-111c-c079-df38	
	days	are a kind of		unit	for	measuring time						ec3f-17e4-7f87-3757	
	dead organisms	are a kind of		waste						#2668		b0f1-187c-f56a-22ed	
	decades	are a kind of		unit	for	measuring time						be17-2cad-5cc5-0f66	
	December	is a kind of		month								28df-fece-46cf-e074	
a	decomposer	is a kind of		living thing								8d39-8c01-d006-1326	
a	decomposer	is a kind of		living thing							Duplicate. All uses deleted.	8dab-fa05-1ceb-e694	
	decomposer	is a kind of		role				in the food chain process; in an ecosystem				ec9d-6fc5-9cb0-28db	
	decomposition	is a kind of		process						#1010		94aa-c937-f092-7d88	
a	decrease	is a kind of		change						#340		a81f-882c-3627-408d	
	decreasing	is a kind of		change							Duplicate (by lemmatizer). All uses deleted.	f1d7-fb01-7450-3eff	
a	deep sea animal	is a kind of	marine	organism								ff7d-b137-62ff-567b	
a	deer	is a kind of		animal								8cd7-84f7-76a1-1ba5	
a	deer mouse	is a kind of		mouse								2c01-2721-96af-28e1	
a	delta	is a kind of	geologic	structure; landform						#1327		ae9e-0641-6d10-e452	
	deposition	is a kind of		constructive force						# Q 1181		26ca-d196-e2c1-632c	
	deposition	is a kind of	natural	process						# Q 1937		45f5-854b-a9a9-d2e7	
a	desert	is a kind of		environment						#369		328a-8d46-1485-c3c3	
a	desk	is a kind of		table						# Q 1190		30aa-0d51-4be2-538d	
a	dessert	is a kind of		food								d02f-8790-4fd9-da49	
	destroying	is a kind of		function						#3035		699f-16a3-7f7d-e9de	
a	device	is a kind of		object						#1865		5e04-dbd6-f9b0-14b4	
	dew	is a kind of		condensation								e96e-4426-7f92-f56d	
	dew	is a kind of		liquid						madeof water/contains water		06f4-8004-6e6f-4eab	
	diamond	is a kind of		mineral						#702		7e9a-fec3-cac8-51bb	
a	diatom	is a kind of		organism						#2020		8794-bd63-7a55-f9fc	
a	diatom	is a kind of		producer						#2020		f36b-4742-f196-9090	
	digestion	is a kind of	bodily	process						# Q 905		c06c-630c-c3ed-e7a0	
the	digestive system	is a kind of	body; human	system						#1866		9a31-6857-9a85-8828	
the	digestive system	is a kind of	body; organ	system						#2955		4531-d267-4fd6-50e5	
a	dime	is a kind of		coin						#846		7d18-5634-a307-8207	
a	dinosaur	is a kind of	extinct	animal						# Q 1141		9d97-04bc-21d3-bf27	
a	dinosaur	is a kind of		reptile						# Q 2243		b9fe-b758-80b7-27be	
	dissolving	is a kind of		action						# Q 2448		0857-b862-0bbf-3c1b	
	DNA	is a kind of		molecule						#3374		456f-2c64-7f1c-ec72	
a	dog	is a kind of		animal								c963-24b2-f50d-a21d	
a	doorbell	is a kind of		bell						#2012		1c3a-3b86-ae06-715c	
a	doorbell	is a kind of	electric	device						# Q 1904		ac96-5db5-366c-b342	
	down	is a kind of		direction								36e1-b93c-2ce0-866f	
	down	is a kind of		small feather								58f2-80ea-9592-38a4	
	down feathers	are a kind of		insulator						#1027	Moved to Prop-Conductivity	80f8-61b9-d6d9-202b	
	down feathers	are a kind of		material						#1027		3240-c2c8-0748-1c2a	
	downhill	is a kind of		direction								fc5c-acec-f27b-efbd	
	downstream	is a kind of		direction				in a river		#1828		ed4f-6314-0f55-e413	
