PROCESS_NAME	[FILL] means/a	ADJ/QUANTIFIER	ACTOR/WHO	QUANTIFIER/SCOPE	QUALIFIER	VERB	WHAT	[FILL] from	FROM	[FILL] into	INTO	[FILL] for	FOR/PURPOSE	[FILL] by/through	BY/THROUGH/HOW	SCOPE	QUANTITY/RANGE	[SKIP] COMMENTS	[SKIP] DEP	[SKIP] UID	
metamorphosis of rocks	is when		rocks			change		from 	one type	into	another type			by 	extreme heat and pressure			duplicate concept	SW a029-482a-dd71-9829	30e6-16d1-5abe-2b83	
definite shape	means		the shape	of an object		stays	the same									when moved to different spot				31fa-7a0b-11b1-c0fa	
			weather			changes										from seasons to seasons				3fec-edd9-b5db-ff29	
			moving away	from the source		increases	the distance													2139-9134-1cc2-2c33	
			horizontal change	of motion	do not	change	the potential energy									of an object				80e4-a719-2ea2-3624	
stopping a moving object						changes			kinetic energy	into	potential energy									afa2-2d9f-9435-0d36	
			hydropower; a hydroelectric power plant			converts			kinetic energy; water falling	into	electricity; electric energy									7dca-fb0b-9471-efd5	
			a tidal generator; a tidal power plant			converts			tidal energy; wave energy	into	electricity; electric energy									b1ec-8df3-25d3-01d4	
			a geothermal power plant			converts			geothermal energy	into	electricity; electric energy									536c-2d19-0c19-8690	
			burning fossil fuels			converts			potential energy	into	thermal energy									66a3-8213-aabe-5609	
	a		greenhouse			converts	sunlight	from	radiation	into	thermal energy									f26c-fe95-6f4c-c4ba	
			wave action			changes	the shape of the beach							by	mechanical energy					d92c-f3a3-a65f-a7fb	
	a		heat engine			converts			heat energy	into	mechanical energy									6e6a-9e09-fc7c-fb89	
			refraction			changes	the length and the direction of light													0536-2ba5-dcb0-06af	
			a coal power plant; a fossil fuel power plant; a natural gas power plant			converts	an energy source	from	chemical energy	into	electricity; electrical energy									635a-5126-9cf1-4fe4	
			a coal power plant			converts	an energy source	from	coal	into	electricity; electrical energy									4ba0-cce5-f474-424a	
			a fossil fuel power plant			converts	an energy source	from	fossil fuels	into	electricity; electrical energy									c5a4-2b32-95ad-bc14	
			a natural gas power plant			converts	an energy source	from	natural gas	into	electricity; electrical energy									51e6-e28b-9682-34e4	
			a nuclear power plant			converts	an energy source	from	nuclear energy	into	electricity; electrical energy									24ba-c45f-922f-efd6	
			solar cells			convert			solar energy	into	electrical energy									66e0-20b6-da6c-8421	
			the formation of lightning			converts			mechanical energy	into	electrical energy							too specific?		a087-5c2c-b0d4-cb06	
			an electric motor			converts			electrical energy	into	mechanical energy									6cee-7656-3eaa-7124	
			photovoltaic cells			convert			light energy	into	electricity; electrical energy									94cd-574c-c925-3eff	
			the radio			converts			radio waves	into	mechanical waves					in the speaker				6e4e-a5f9-8fdc-3cc6	
	a	lit	candle			converts			chemical energy	into	light energy; heat energy									a0c0-46f3-3dd1-09e4	
			an endothermic reaction			converts			heat energy	into	chemical energy									e114-ec47-36df-0886	
			comet striking a planet			converts			kinetic energy	into	thermal energy									75f1-4abc-3fc1-e959	
			friction			converts			mechanical energy	into	heat energy									2049-7f3d-b2f3-a0a3	
active transport						converts			chemical energy	into	mechanical energy									30b6-855b-b5d4-ff93	
			human activity			changed	the composition of the atmosphere									over the last hundreds of years				3b6c-ddaa-8c14-f31f	
energy transformation	means		one kind of energy			changes				into	another kind of energy									3d34-b43e-8a7e-07fd	
cutting	means					changing	the object	from	a whole	into	smaller pieces									8bde-7729-7914-ff27	
	a		disruption 	of an ecosystem	can	cause	an extinction													a01f-9582-50f1-7b14	
			ocean currents			change	the world climate							by	transferring heat to and from various regions					4c25-60d5-fb41-8bbc	
			losing electrons			changes			the charge of an object	into	positive									d892-08e0-5698-a7fc	
			gaining electrons			changes			the charge of an object	into 	negative									d6c5-5697-0810-a5ea	
			burning			converts			chemical energy	into	thermal energy									ed2d-706b-57dc-cd41	
			deposition			changes	the Earth's surface													1aaf-f98d-d1e9-a08b	
			erosion; weathering			changes	the Earth's surface													4267-93f0-e703-47f2	
			acid	produced by some trees	can	change	the soil chemistry													daf9-3b53-ab99-f645	
			chemical weathering		can	change			the limestones	into 	highly porous form									ab06-762c-cce1-e394	
formation in the rock cycle	means		an old class of rocks			changes				into 	a new class of rocks									3179-e5c7-2920-6db8	
erosion and deposition					can	change			metamorphic rock	into 	sedimentary rock									be57-b419-d43a-a455	
			species	from long ago		have changed										over time				4ca1-e214-501e-3c55	
			the collision 	of tectonic plates		changes	the order of the rock layers							by	compressing rock layers into faults and folds					3cd1-387d-9bdf-bf9f	
electrolysis of water 	is when		water			is decomposed				into 	oxygen and hydrogen			by	passing electric current through water					cc77-e071-37ce-4b95	
abrasion						changes	rocks	from	rough	into 	smooth; round									cfd7-7ab4-8396-4d7a	
deflection	is when		an object			changes	its moving direction													6ee2-6f91-4689-ec27	
subduction						converts	large amount of		mechanical energy	into	thermal energy									7bbc-74be-96f0-3ec8	
nuclear fusion						converts			hydrogen	into	helium									be6c-78e9-7762-22e3	
			temperature change	do not		change	the color									of the object				eaab-8903-4b3b-cb0a	
			temperature change			changes	the volume									of the object				388c-4082-979f-9ad8	
the breakdown of ozone	is when		ozone absorbing ultraviolet light			changes			ozone	into	oxygen									7dbf-cb65-4ad5-84ca	
		extreme	heat and pressure			compact			sediments	into	sedimentary rocks									71ba-ef2d-fb5f-33fc	
			electromagnetic radiation			distorts	the frequency									of the radio waves				7979-8293-8f4a-4767	
			destroying animal habitats			changes	the ecosystem													8128-ebc7-48de-df5d	
			matter	with variable shape		changes	shape									in different container				2fcc-e1b8-1198-9d11	
			stars			change	type									during their life cycles				7371-ffed-8403-0337	
the Doppler Effect	is when		the distance	from the wave source		changes	the frequency									of the waves				44df-5a0a-23f4-7a7b	
			stretching			changes	the shape									of an object				9d13-75dd-6bda-4d9f	
			breaking an object	into pieces		changes	the shape									of the object				f51e-d087-c2c3-de6c	
