PROCESS_NAME/ ACTION	[FILL] means	ADJ	AGENT/OBJECT	SCOPE1	[FILL] are	ACTION	DIRECTION	[FILL] a/the	QUANTITY	PATIENT	[FILL] for	FOR/PURPOSE	[FILL] through	BY/THROUGH/HOW	SCOPE2	QUANTITY/RANGE	[SKIP] COMMENTS	[SKIP] DEP	[SKIP] UID	
adding			salt	to a solid			decreases	the		freezing point					of that solid		#1830		c03c-a689-cb2e-24a6	
preventing			something				decreases	the	amount of	that something							# Q 2138		1653-a7fe-e9be-42ca	
			decomposition 				increases		amount of	organic matter					in soil		# Q 1902		2fd8-2d03-ccfe-ca27	
	the		temperature	of steam			decreases								after a shower		# Q 1995		79a0-2fbc-edea-0d50	
						to slow; to slow down	decreases			speed									dae9-2ad1-04de-57b4	
getting			something				increases	the	amount of	that something									7a74-426d-ec77-f296	
global warming	is when	worldwide	temperature				increases										# Q 2206		4040-94c5-cc21-a29c	
			sexual reproduction				increases			genetic diversity							# Q 2246		5cd9-f632-759b-0f39	
			cross-pollination				increases			genetic diversity							# Q 2246		5c15-f271-e31f-f9ec	
			releasing something	into the atmosphere			increases	the	amount of	that something					in the atmosphere		# Q 2250		5134-9d12-1ca3-27be	
			volcanic ash	in the atmosphere			decreases	the		temperature			by	blocking the sun			# Q 2250		6e50-f578-2839-75ac	
			killing a living thing				decreases	the	number; population size	of that living thing							# Q 2264		1e6c-e33a-715b-5aba	
			absorbing something	from the air			decreases	the 	amount of 	that something					in the air		# Q 2273		4989-d132-39f1-7c78	
			genetic engineering methods				increase		resistance to	herbicides							# Q 2407		fb77-e658-b332-250e	
			genetic engineering methods				increase		resistance to	insects							# Q 2407		302c-48d3-4a62-1e65	
			genetic engineering methods				increase		resistance to	viral diseases							# Q 2407		e5e5-2310-290c-6a3f	
			preventing reproduction				decreases	the	rate of	reproduction							# Q 2436		11e7-1230-697c-75b4	
rising	means		height; altitude				increases										# Q 2465		8801-7624-7cb5-3846	
falling	means		height				decreases										# Q 2465		520f-594c-6b5d-d18b	
			erosion	sometimes			decreases	the	amount of	nutrients					in soil		# Q 2480		b0fc-d00e-2723-8578	
			performing multiple trials	of the same experiment			increases	the	likelihood of	obtaining accurate experiment results							# Q 2493		10dc-e1f9-880f-344f	
			comparing data				increases; improves	the	likelihood of	obtaining accurate experiment results							# Q 2494		5362-2978-ac5a-b0fa	
			using renewable resources			to generate power	reduces			greenhouse gases							# Q 2529		3ca8-12fc-c873-c688	
			having no natural predators				increases			population size							# Q 2535		da24-6294-850b-40f1	
			scattering light				decreases			visibility							# Q 2543		2326-1f64-f9f6-a124	
			reproduction				increases	the	number; population	of a living thing							# Q 2548		4246-79d1-f727-337c	
			food			spoiling	decreases	the		shelf life					of that food		# Q 2740		aea5-60f3-40c3-9acb	
						fanning a fire	increases	the		oxygen					near the fire		#2862		41ae-3ea8-17ee-bc13	
						smoking tobacco	decreases			stamina; cardiovascular efficiency							#2929		cd0c-8237-3e0d-0301	
						disrupting something from reaching something else	decreases	the		availability of that something							#3008		94dc-5cdd-f109-b702	
						burning fossil fuels	increases	the		carbon					in the atmosphere		#3073		24d3-0886-1cda-f1c5	
			fluoride				decreases			tooth decay							#3082		5aca-34a9-65db-54cb	
			an inclined plane				increases	the		distance					over which an object travels		#3208		6a06-adba-0ffc-0d17	
			an inclined plane				decreases	the		force					required to move an object to a different altitude		#3208		a285-3dc7-d34b-9971	
						eating something	decreases	the	amount of	that something							#3235		22fd-af9b-e989-c099	
						using resources	decreases	those		resources							#3252		4f1d-c03f-115a-0bd5	
		cell	division				increases	the	number of	cells					in the body		#3273		8da8-6e3f-a4bd-30b0	
						losing energy	decreases	the		efficiency					of an object; of a system		#3290		ca5f-8a7f-e8c0-f193	
						flooding	decreases	the	availability of	food							#3336		6bdc-9933-be8d-61b8	
			stomata			closing	reduces			water loss							#3371		aa88-ee90-75cd-b00c	
						farming	decreases			animal habitats									cc5d-34c4-44d1-b162	
						selective breeding	decreases			genetic diversity									e065-054d-5d91-ac7e	
		the	atomic number	of elements			increases		by 1						from left to right on a row on the periodic table				e767-5de5-f2c6-84af	
			compressing an object				increases	the		potential energy					in the object				9ef2-f595-7541-0ab6	
			the heat energy	in the cooler object			increases								in thermal conduction				3497-68e4-f791-9066	
		early photosynthetic	life				increases	the 		oxygen level					in Earth's atmosphere				3c17-20cb-5bf2-680d	
			hunting; overhunting				decreases			animal populations									a377-9a90-a617-0f9c	
			acid rain			will	increase	the 	acidity of 	the ocean									e1ac-5476-f575-13cf	
nuclear fusion							increases	the 		mass			through	fusing two nuclei together into one					bc06-5219-f038-f1f7	
nuclear fission							decreases	the 		mass			through	splitting a large nuclei	apart				e1c1-4f4e-70fd-c615	
			forest fires				increase	the 		soil erosion									e67a-ccd5-2602-494d	
			organic material				increases	the 	ability of	soil					to retain water				ab5c-3e21-d055-b4e8	
			planting the same crop	every year			decreases	the 		nutrients					required by that kind of crop				bccd-41b9-c44c-45d8	
			soil packing down				decreases	the 	ability of 	soil	to	hold water							0f9f-c1bd-d54a-1722	
			tunnels 	in soil			increases	the 	ability of 	soil  	to 	hold water							ab04-cf17-c4b3-09d4	
			drought				decreases	the 		thickness 					of soil				bf22-721b-6f63-055c	
			damming a river				decreases	the 		sediments deposited					along the shoreline				edf9-197d-3217-d15e	
			unplanted field				increases	the 		soil erosion									23cd-e092-6003-76e3	
			using solar energy				decreases			pollution									37f2-bad8-7109-9377	
			the looseness	of soil			increase	the		ability of water	to	enter the soil							7b7e-4991-5350-b34b	
		warm; humid	environment				increases	the	rate of	rocks weathering									55bc-3d44-ab15-7cb2	
			a high-pressure system				decreases	the		water in air	to	condense into clouds							548f-94fc-edc0-93b7	
			El niño				decreases			upwelling									ae27-163b-6f32-ed65	
			upwelling				decreases	the 		surface temperature					of the ocean				948a-cf22-bab4-71c7	
			upwelling				increases	the 		release of carbon dioxide					into the atmosphere				1c07-31fc-537b-f021	
			flooding				decreases	the 	number of	native plants					in an area				fc4e-bad0-108d-feef	
			a large quantity of heavy rain	in a short time			increases			erosion									0cb1-859a-79cf-72d5	
			accretion				increases	the		materials					on tectonic plates				4eaa-227f-31fa-e2e7	
			wildfire				decreases; removes	the		nutrients					in soil	sometimes			321d-bc49-4014-3793	
			trees				decrease; reduce	the		wind speed; wind force									fa5f-cd12-8111-9991	
			tree roots				decrease; reduce			soil erosion									08a7-34bf-d1a2-f681	
			grass roots				decrease; reduce			soil erosion									3f27-9a07-5cec-f5dd	
			terraces				decrease; reduce			soil erosion					on a slope				0d31-d7e8-8d61-aea5	
			no-till farming				decreases; reduces			soil erosion									18cf-0d09-294a-b89d	
			overgrazing				increases			soil erosion									646c-da3a-5908-e79a	
			tunnels 	in soil			increases	the	amount of	air					penetrating soil				be53-39e0-bbd0-877c	
			irrigation				decreases; depletes	the		nutrients					in soil				f9a8-bec1-1996-c6c6	
			renewing soil				increases	the		nutrients					in soil				900e-36d2-bd30-b664	
		positive	impacts	on organisms; species			will increase	the		population					of the organisms; the species				68b5-2680-afb6-e02a	
		negative	impacts	on organisms; species			will decrease	the		population					of the organisms; the species				83f9-1f31-2097-7a80	
		cold and dry	climates				decrease	the		speed					of weathering process				2989-0c14-f05a-0d33	
			greenhouse gases			absorbing infrared radation	increases	the		temperature					of the atmosphere				244e-0024-b731-9ef5	
			the transfer of energy				decreases			usable energy									adc5-5f29-4699-8f1a	
						replacing something	decreases	that		something									ca7c-992b-a20b-9b7e	
shedding	mean		an animal				loses			hair;fur;skin									789a-2543-1e29-7ae2	
						adding a catalyst 	increases	the		rate; speed					of chemical reaction				c1de-0c28-6e6a-6457	
						trapping; catching animals in the wild	decreases	the		population					of the animal population				f224-6639-27fb-a022	
