[FILL] a	ADJ	OBJECT/AGENT	QUANTIFIER	[FILL] contains	QUANTITY/RANGE	WHAT IT CONTAINS	[FILL] for	FOR/PURPOSE	[FILL] by/through	BY/THROUGH/HOW	SCOPE	[SKIP] COMMENTS	[SKIP] DEP	[SKIP] UID	
		runoff		contains		chemicals; fertilizer; pollutants; pesticides					from cropland	#446		6029-2646-fb11-8753	
		soil		contains		nutrients	for	plants						ddcc-3b71-b14e-97d1	
		soil		contains		water; humus; weathered rocks; organic matter; sand; clay						#520 MADEOF table		24c1-678f-d0a3-2af7	
the	solar	system		contains		the moon								b776-8099-262d-4b06	
		sunlight		contains		ultraviolet light						# Q 1901		f1ae-4d95-7b44-91f9	
the		surface of the Earth		contains		mountains						#1444		d9ac-bf1e-2efc-8abb	
the		surface of the Moon		contains		mountains						#1444		d0ac-a3a5-dadc-df10	
a		swimming pool		contains		water						#738		4a43-1f50-d613-de3e	
an		tennis ball		contains		gas						#1350		a34e-4c17-742b-c689	
the		top layer of soil		contains	the most	nutrients						#485		0738-f2c4-03a7-3a8b	
a		trashcan		contains		trash; garbage; waste						# Q 1539		7101-b26e-c0b0-1347	
a		tree		contains		wood								bcc7-8811-5dcd-6e0f	
		wasp's stinger		contains		poison						#1099		1177-e0d7-4358-0204	
		water		contains		dissolved oxygen						# Q 217		f32e-0424-d7c1-e558	
		zoo exhibits	should	contain	all	things 		required	by	the animals	living in those exhibits	#1420, Requires further decomposition ?		adb3-8ad7-befa-74c9	
a	poultry	egg		contains		albumen						# Q 2236		e073-b123-fb84-804c	
an		aquifer		contains		groundwater						# Q 2240		81ca-41a7-929e-5814	
		galaxies	often	contain	hundreds of billions	of stars						# Q 2511		2d3b-e916-e50b-1ecc	
		living things in a polluted environment	often	contain		pollutants						# Q 2533		eb00-1206-3bdc-1d35	
a		pool	of muddy water	contains		mud						# Q 2701		4af6-4c8f-e20d-4948	
the		bonds	of chemical compounds	contain		chemical energy						# Q 2706		3c5b-ad90-b6bc-f908	
	chemical	compounds		contain		chemical bonds					between atoms; between elements	# Q 2706		880b-ae92-483a-c9fa	
a		typical galaxy		contains	billions	of stars						# Q 2742		4280-6180-728d-6f3f	
a		somatic cell	of a human	contains	23 pairs of; 46 	chromosomes						# Q 2732		e22d-775e-7301-e27d	
a		sex cell	of a human	contains	half	the hereditary information					that a human body cell does	#2629	wrong relation? (comparison)	1cc0-03b5-7043-65ba-DEP	
a		sex cell	of a human	contains	23	chromosomes								1cc0-03b5-7043-65ba	
a	fertilized	egg cell	of a human	contains	46	chromosomes						#2811 DEP -- taxonomic, a fertilized egg cell is a kind of somatic cell	SW 84b4-2c8a-8996-0366 e22d-775e-7301-e27d	12ee-aca0-c7d5-d7e0	
a		chromosomes	of a human	contains	thousands	of genes						#2892		6d48-b9c8-7dcc-dd5a	
a		prokaryotic cell	does not	contain		a nucleus						#3012, Negation		083a-29e5-a628-fb4b	
the		atmosphere		contains		matter that reflects blue light						#3020		373d-431d-6cd3-aff1	
	fossil	fuel		contains		chemical energy								bfa4-74ef-3e51-a3cb	
the		nucleus		contains		genetic material	for	reproduction				#3304		afce-4d41-dcdd-13c0	
	organic	compounds		contain		hydrogen						#3354		6129-95b7-29b6-b458	
a		planet		contains		environments						#3359		000a-600e-7107-9dc4	
		rainforests		contain	many	species						#3365		3a60-1fd9-caa1-2275	
		coral reefs		contain	many	species						#3365		4985-245a-39fe-2acb	
a		chromosome		contains		instructions	for	the passage of traits			from one generation to the next	#3375, replace "instructions for the passage of traits..." with "genes" ; make sure there is a "genes are instructions..." row	SW b54d-e85f-fdab-b943 e5cc-028d-dd22-6e8f b132-b7bb-b8fe-0c19	ccf0-c126-d7ae-613b	
a 		chromosome		contains		genes						ccf0-c126-d7ae-613b(original UID)		b54d-e85f-fdab-b943	
a		battery		contains		chemical energy						#3389		bca4-02fa-0730-7e0a	
		hydrogen		contains		chemical energy								e8ff-2b58-8137-0e74	
		genes		contains		genetic information						#6406		e5cc-028d-dd22-6e8f	
		genetic information		contains		instructions	for 	the passage of traits			from one generation to the next			b132-b7bb-b8fe-0c19	
a		nucleotide		contains	one	nitrogenous base								b7ba-a273-9121-751a	
the		sequence of nucleotides		contains		genetic information					for the organism			dfc7-ea44-9a0a-a350	
a		codon		contains	three	sequences of nucleotides								db9c-0555-d903-3a8f	
a	heterozygous	organism		contains	both	dominant and recessive genes								bf6d-30bb-f14c-54bb	
a 	homozygous dominant	organism		contains	only	dominant genes								acda-b7a0-d62c-ff9b	
a	homozygous recessive	organism		contains	only	recessive genes								0df9-78d7-51d9-6e54	
a		zygote		contains	all	the genes needed	to	develop into a new organism						729c-c7d9-4c36-3b10	
a		classroom	usually	contains	a low concentration of	odor						#8059		8342-d54c-5a23-fdf6	
	organic	compounds	do not	contain		potassium						NEGATION?		5041-52ea-f8a3-b6d3	
the		noble gases family; group 18		contains		helium; neon; argon; krypton; xenon; radon							SW 6c1d-31a9-db5a-6b07	a1f4-f812-20c2-5665	
the		alkali metals; group 1		contains		lithium; sodium; potassium; rubidium; caesium; francium							SW 1b97-cdfe-55ae-ac9d	5c51-37b3-705e-45b4	
	moist	air mass		contains	a high amount of	water vapor								1fd7-6b9d-6694-78b6	
		waves		contain		mechanical energy								ee0a-6d90-da47-2142	
		objects		contain		chemical energy								e65c-0bb6-dda2-468e	
		sunlight		contains		infrared light								ae96-07b4-2111-c065	
the		solar system		contains	eight	planets								88a6-71df-a8e2-2fe0	
		Mars		contains		ice								0789-62ef-cc21-b53d	
		Earth		contains		water; ice; (steam, water vapor)								4d12-5dbb-bcb0-8861	
	all	planets	do not	contain		water; ice; (steam, water vapor)								34b8-2d96-32ae-8fcb	
a		terrain		contains	a	surface								5ae7-31d2-8a0e-0d93	
the		solar system		contains		asteroids								4a68-5032-17cd-8391	
the		asteroid belt		contains		the largest concentration of asteroids					in the solar system	COMPARISON	SW 6885-fe75-541d-f341	012b-c5bb-c960-0089	
the		asteroid belt		contains		asteroids								1c96-585a-f6fa-597c	
the	Earth's	surface		contains	many	craters								aa2e-a517-11bf-e86c	
a		mountain range		contains		mountains								8a19-f0f3-ccd2-b61f	
a		galaxy		contains		dusts; stars; planets								ca02-f295-6df6-5ba8	
a		halo		contains	mostly	old stars								e086-0708-980e-b339	
		quasars		contain		massive black holes					at their centers			cf04-7ab3-7cf0-fc05	
the		Kuiper Belt		contains		orbiting comets; asteroids								d085-dbe2-1b2e-916c	
		spacesuit backpacks		contain		oxygen								3842-f52d-cf34-b6b7	
		computers		contain		gold								9b12-a675-1840-0289	
		electronics		contain		gold								42bf-d112-7193-ba29	
the		pipe		contains		fins					in a baseboard system			a6a9-7779-8ddb-de36	
a		waterfall		contains		water								e04b-dd2f-feba-1e5f	
a		radio		contains	a	speaker								8229-9677-683e-24d5	
a		telephone		contains	an	encoder								ab2d-a884-0e6c-511d	
		fuel		contains		chemical energy								c23e-4123-ef7b-6907	
		troposphere		contains	75%	the gases								ed12-5a2a-48c6-b7fc	
		troposphere		contains	almost all	the water vapor								218d-6a24-24db-a9dc	
		thermosphere		contains		high-energy particles								4761-bcf2-0611-bfd3	
		substances		contain		chemical bond energy								78bf-081e-f4e2-6343	
		Virginia		contains		rivers								76e8-6fab-c686-29ce	
		stomach acid		contains		enzymes								50cb-f507-3d91-7a40	
		legumes		contain		nitrogen								9fe9-9177-445c-de27	
		fertilizers		contain		nitrogen								4ecf-622a-52fe-b8b7	
		Antarctic polar ice		contains		ice; glaciers								c6f4-727a-aac3-9aa9	
		biomass		contains		organic matter								9e22-53dc-0e9b-52dc	
a		dissecting kit		contains		scissors; forceps; scalpels								d641-a0e7-ae46-bffe	
		carbohydrate	does not	contain		carbon-nitrogen bond								541a-a19f-9a58-94d5	
		water		contains		microscopic living organisms								31c3-e6e4-d66d-1052	
the		lithosphere		contains		the crust; the upper mantle					of the Earth			a79c-967a-94d1-9d2a	
	loamy	soil		contains		sand; clay								d5be-8912-13b6-4e24	
		Earth		contains		glaciers; ice caps								5962-c3e3-67cc-829b	
	agricultural	ground		contains		soil								e351-1b4a-ce26-2616	
		metamorphic rocks	do not	contain		fossils						negation		08ea-250e-e637-ccb8	
		pumice		contains		air pockets								b5d8-3f93-2a2d-1e73	
a		river	usually	contains		freshwater								b3a7-d865-d0a8-e900	
a		water reservoir		contains		water								05be-c29c-dfe4-7212	
the	deep ocean	water		contains		dissolved carbon dioxide								ca1b-a3bb-54b0-fe87	
the		abdomen		contains		the liver								0b56-7528-753a-ef35	
the		abdomen		contains		the kidney								0b56-7528-753a-ef36	
the		abdomen		contains		the stomach								0b56-7528-753a-ef37	
the		abdomen	does not	contain		the heart								71c9-63ff-d2bd-b520	
		metamorphic rock; sedimentary rock; igneous rock		contains		quartz								d39f-c670-b169-de20	
		glaciers; ice caps		contain		freshwater								8fad-34a6-efaf-5530	
