ACTION1	[FILL] a	OBJECT/AGENT/PROCESS	SCOPE1	QUANTIFIER	VERB (requires)	ACTION2	QUANTITY/VALUE	[FILL] a	OBJECT	SCOPE2	[FILL] for	FOR/PURPOSE	[FILL] by/through	BY/THROUGH/HOW	SCOPE4	QUANTITY/RANGE	[SKIP] COMMENTS	[SKIP] DEP	[SKIP] UID	
	a	plant			requires			a	specific climate		to	grow and survive					# Q 615		ca89-72df-289d-eb5a	
	a	plant			requires			a	habitat		for	survival					# original: "habitats support animals" -- is there a generic way to reframe so we can also use the word "support"?		b7e4-dce3-2bc1-dc3e	
	a	plant			requires				photosynthesis		to	grow; survive					#1374		fe74-c2b4-98c2-9496	
		plant			requires				seed dispersal		for	reproduction					#474		c814-78ab-6951-9f93	
	a	plant			requires				soil		for	survival; to grow							5ebe-099f-fd30-b713	
	a	plant			requires				space		to	grow					#257		7e26-1fd1-3e55-4816	
	a 	plant			requires				sunlight		to 	grow					Good		4480-75c2-5b75-c32a	
	a 	plant			requires				sunlight		for	photosynthesis					# possible consolidation of rows?		619e-a5d1-b505-4f69	
	a	plant			requires				water		to	grow							3ee7-7f5c-c890-460e	
reproduction of	the	plants		often	requires				pollen								#2384		82fa-7d32-6cd6-b331	
		plant reproduction; seed production			requires				pollination								# Q 80		7b88-0a72-7d90-ea1d	
	a	plant; living thing			requires				food		for	survival							3796-e9f2-e94c-634d	
	a	plant; living thing			requires				nutrients		to	grow							085c-28bf-bb51-79e6	
	a	plants; living things			require				water		for	survival; to grow							f3ed-dedc-2aad-109c	
	a	polar bear			requires		a cold		environment								#1420		682c-7e2c-8f66-0543	
		pollination			requires				pollinators; pollinating animals										2c1d-72c3-3a94-c25b	
popping		popcorn			requires	adding			heat								#280		4102-0f86-9ded-c9db	
		preparing for an experiment in a laboratory			requires	practicing			safety								#3033		c31e-1b5b-c39b-1249	
eating		prey			requires	catching			prey								#1884		69cc-d300-368f-169b	
	a	process		usually	requires		all of 	the	stages	in that process							# Q 2436		5549-0363-44f2-eb34	
answering		questions			requires				information								#1421		7717-15e3-f50d-464a	
		radiation		does not	require				objects to touch each other								#2195	SW 3274-5890-ead5-c376	de3a-8c85-4074-46a8	
using	a	raw material		sometimes	requires	absorbing		that	raw material								#1686		bef0-f566-d2cd-a523	
		satellites; spacecraft	launched from Earth		need to	reach	a specific speed			to escape Earth's surface	to	overcome earth's gravitational force					#2684		1379-cea4-7a6c-f6de	
creating	a	simple circuit			requires			a	wire; battery								#1206		963a-dc3b-646b-8187	
	a	simple machine			requires				mechanical energy		to	function					to function" -- I wonder if this is too abstract. Leave out or change?		9ad1-61b5-f824-eac7	
		skills		often	require	practice											# Q 2499		5069-1790-ca7c-968d	
		sleeping			requires		less		energy						than being awake		# 1065, okay?		4c78-546e-273d-30c8	
toasting		something			requires	adding			heat energy								#1383		5023-ad88-20d0-adfa	
making		something			requires				resources								# 973		4b08-9460-5cec-02ba	
counting		something		usually	requires	seeing		that	something								#1048		6ace-d8ec-0ac5-9dd2	
discovering		something		usually	requires	seeing		that	something								#1246		4274-6c15-d627-27b7	
finding		something			requires	sensing		that	something										beb5-0b99-d9ac-b8e5	
learning about		something		sometimes	requires	observing		that	something								#1637		d8a6-5c7b-d762-e968	
studying 		something		usually	requires	seeing		that	something								#1224		2530-6efd-e282-feb0	
building		something		often	requires	measuring		the	materials										f58a-4d4f-e0ae-6833	
avoiding		something			requires	sensing		that	something								#3384		fa93-f445-a40f-4a9f	
building; using	a	specific kind	of robot		requires	assembling		the	robots				through	exact same process			#3172		373d-0358-6bce-e9a1	
calculating		speed			requires	knowing			distance travelled								# Q 638		98dd-55cb-7cfa-5e19	
	a	sprinkler			requires				water		to	function					#2171		fa4f-3f9e-68fa-1b79	
	a	star			requires				energy								#3322		c3b3-283a-48f3-172e	
preparing for	a	storm			requires	predicting		the	occurrence	of that storm							#383: note add occurrence/behavior		bbef-5cd8-4316-7358	
testing; identifying	the	streak	of a mineral		requires			the	powdered form	of that mineral							# Q 2, refactor?		c275-7629-09d4-66e3	
	a	tadpole			requires				water		to	breathe							c962-dbaf-be19-1b47	
using	a	telescope	to photograph solar events		requires			a	light filter								#3398		4247-1fbe-0e2c-e5e9	
establishing	a	territory			requires	keeping			other animals	away							# Q 2702		b5d8-b3ca-44ff-5f7c	
building	a	tool			requires	knowing about		the	parts	of that tool							#1880		667d-b7b6-7a2f-41ac	
	a	tree			requires				space		to	grow							0d05-923d-7ac4-0ae8	
	a	tree			requires				sunlight		to	grow							ba77-8e71-e07b-08fe	
	a	tripe	in a vehicle		requires	using		that	vehicle								#2073		ce92-ccfe-ccdf-061f	
determining	the	type	of an organism		requires	having			information	about that organism							#1422		a7a2-bae8-2f22-634d	
making	a	valid conclusion	in an investigation		requires			a	testable hypothesis								#1095		9975-ef8f-39de-60bf	
making	a	valid conclusion	in an investigation		requires	collecting	relevant		evidence								# Q 2520		cce7-92dc-ed3c-ef64	
		vehicles		usually	require				gasoline		to	operate					#1217		0bb0-16b1-30de-d0e2	
predicting		weather			requires	studying			weater								#383		66f7-f191-3c2b-d38e	
	a	wheeled vehicle			requires				smooth surfaces										57ff-11f6-5854-80c5	
		wind turbine farms			require		a lot of		area								# Q 2247		29d9-327d-bca0-15b1	
		wiring			requires			an	electrical conductor								#1053		b5f8-afed-3d08-707b	
creating		wood-free paper		does not	require	cutting down			trees								# Q 2154		c154-63ca-6d35-92b4	
measuring					requires	reading		a	measurement								#2193		5c44-235c-9a3d-6182	
being active					requires				energy								#590		3e47-33d1-5c3d-ae35	
running					requires		a lot of		energy								#756		2401-2216-1d73-27d3	
seeing					requires				light								# Q 1560		e5ab-6c07-c15d-90f2	
hunting					requires	seeing; sensing			prey								#1887		0857-a14d-3376-70f7	
comparing					requires	observing		that	something								# Q 1726		cafd-1d6e-a47f-022b	
building				usually	requires	cutting down			trees								#484		0fb6-467a-43af-1af8	
comparing					requires	measuring											#188		5a5b-62f9-095f-8447	
determining				often	requires	measuring; observing											#299		fc75-dfcd-e46e-e318	
investigating				sometimes	requires	measuring											#1636		131b-dab0-cb1e-e896	
reading 					requires	seeing											#768		09ac-6563-7f9f-67ca	
testing				often	requires	measuring											# Q 2		4478-6d20-87bd-2cd1	
scientific discoveries				sometimes	require	specific technologies											# Q 2267		4d18-6d86-e5d1-929d	
frame construction					requires	wood											# Q 2274		b020-c975-0e5f-40c8	
measuring				sometimes	requires 	recording; learning		an	amount								# Q 2215		5c04-1a15-876c-ebc2	
travelling					requires 	navigation											# Q 2222		f3e5-38ff-776e-9c1d	
	an	endothermic process		usually	requires		more		heat energy	from its surroundings					than it gives off heat				0d27-53e1-1637-e724	
examining				sometimes	requires	measuring													e3d7-6331-5fa7-1532	
knowing				sometimes	requires	determing													7baa-6ba5-32b3-a4b9	
		one amino acid			requires		three		nucleotides	in DNA		to be encoded; to be made							69af-000d-2165-e939	
making		proteins			requires		genetic		information										def0-6991-a084-0b14	
transferring	a	section	of something		requires	separating	the section			of something									d180-1e12-5682-8624	
		insulation			requires			an	insulator										f035-5b81-7cfb-750e	
getting		information		sometimes	requires	observing; observation													3ffd-5beb-83a1-f543	
		organisms			require				liquid water			to survive							3338-5ddb-6fa9-7e2c	
classifying					requires	comparing													faf7-e6b6-75ee-147f	
identifying				sometimes	requires	examining													683c-e871-d859-907b	
cutting					requires				rigid tools										fd7a-28de-2999-3040	
		cooking wares			require			a	low thermal expansion material										866e-5b9e-9aad-8d72	
	the	occurance 	of shadow		requires			the	presence	of light									bef8-ffe1-0f16-17d1	
roasting		marshmallows			requires				heat										f4ca-8382-651e-8b59	
investigating					requires	gathering			information										9c5d-a1e8-facc-476d	
		living organisms			require				organic compounds			to survive							718c-fbe8-a8b9-c818	
		sound			requires				matter			to travel							4663-72a8-2ae6-1ba0	
to reach		somewhere			requires	traveling													3291-9f24-22b5-4220	
cutting	an	object			requires				mechanical force										fe2f-080c-06a3-2c04	
		thermal insulation			requires	covering		the	conductor						with an insulator				5da2-8ec5-7d70-874e	
	an	optical telescope			requires				visible light		for	human to use							3383-1178-9afa-5530	
	an	electromagnet			requires			a	ferrous metal			to be the core							b957-9ed9-c7eb-223f	
using	a	resource			requires	acquiring		that	resource										7f9f-cccf-22ba-6039	
active transport					requires				cellular energy										1680-c8bc-3e0c-5c0d	
aerobic respiration					requires				oxygen										6307-8729-6eaa-f43f	
washing		clothes			requires				water use										7007-3dad-b777-ff1f	
flushing		toilets			requires				water use										fddf-50f8-20df-e696	
		irrigation			requires				water use										55a9-f5fd-2d13-de8b	
	a	combustion engine			requires				fuel			to operate							5029-a71e-ab37-c4f9	
producing		crops			requires	using			farm land										083d-9af9-0c90-de2d	
riding	a	bike		does not	require				gasoline			to operate							6fb2-058d-e419-87ec	
operating		electrical appliances			requires				electricity										4497-3566-1187-4d3b	
		windmills			require		high		wind force			to generate electricity							c6a4-4426-a298-1ba2	
	a	watch			requires				electrical energy			to operate							3d6a-381c-137a-f4d5	
		irrigation		sometimes	requires	using			groundwater	from aquifers									7d95-0740-3f25-caab	
producing		renewable electric energy			requires				renewable resources										f2b1-50f6-7596-7020	
		humans			require				fresh water			to survive							fa57-4f1d-8627-426d	
using	the	fuel			requires	burning		the	fuel										4084-fc3a-3d6f-6346	
	an	effective aquifer			requires				materials	with high porosity and high permeability									b0f7-f4c9-a0d1-577b	
		space shuttles			require				materials	that can withstand heat									a6d2-4b66-068f-ce85	
		genetic engineering			requires	seeing		the	genes										3cfd-0d53-3357-0047	
		large ecosystems			require				soil		to	develop							d29d-389e-e3c9-dc2f	
		trees			require			a	certain thickness	of soil	to 	grow							954e-672f-6d11-c27e	
		secondary succession			requires				soil		to 	happen							5929-f055-622d-2847	
	the	formation of diamonds			requires				intense pressure										1066-824d-17ec-4ee2	
calculating 	the	age	of rocks		requires	investigating		the	original amount of the elemental isotopes	of the parent isotopes									aa3f-bbc0-1547-ecc3	
measuring	the 	volume 	of an object		requires	measuring		the 	length, width, and the height	of the object									c7e5-7e90-b44c-10e3	
forming		sedimentary rocks			requires	compacting		the 	materials										a592-e886-5f5d-f9f7	
forming	a	hurricane			requires		certain		water temperature										cb47-1534-f13a-7f91	
finding	a 	cure	for a disease		requires	learning		the	cause	of the disease									2f82-72ad-611d-9c0f	
		radiometric dating			requires			the	radioactive isotope content	of a rock									9b7a-8a6f-be42-d305	
buying; selling		animals	in the wild		requires	trapping; catching		the 	animals										f7d3-a593-f1f3-5108	
