[FILL] a/the	ADJ	THING	QUALIFIER1	[FILL] is/has	QUALIFIER2	MAGNITUDE	VALUE	ATTRIBUTE	SCOPE/RELATIVETO	[FILL] with values between	LOWERBOUND	[FILL] and	UPPERBOUND	UNITS	[FILL] for/to	PURPOSE	[SKIP] COMMENTS	[SKIP] DEP	[SKIP] UID	
		desserts	usually	have			less 	nutrients	than other foods								# 836 COMPARISON	SW b533-486f-b4ef-9f35	d716-961b-dfd9-e792	
a	face	dimple		is			depressed; indented	in shape									# Q 1530		87a1-9fd1-636a-072d	
a		domain		is			the broadest	group	into which organisms can be classified								#3010 COMPARISON	SW 2ca3-02db-0e83-8add	ab5f-e4f1-95c0-de76	
a		drop		is			a small amount	of liquid									# in which column does the word "amount" go?	SW f3d7-58e4-df8d-4c5f	1383-98fd-54fa-3ce4	
a		droplet		is			a small amount	of liquid										SW f3d7-58e4-df8d-4c5f	9d6f-0411-6644-656e	
a		dwarf planet		is	usually		much smaller	in size; in mass	than other planets									SW f560-c57a-5c13-8468	447e-1243-6d4e-e9e1	
		Earth		has			a rocky	terrain	in some places								# Q 1742		ded1-6066-fabd-b5ad	
		Earth's mantle		has				properties	of both liquids and solids								# Q 2531		3b16-20b3-fafd-12b0	
an		electron		has			a negative	charge	of one								#3120 PROP-CHEM-CHARGE	SW cc1e-0969-7657-b19e	3f2e-cab8-2606-2fd1	
		elements in the same group on the Periodic Table of Elements		have			similar	chemical reactivity									#3136 PROP-CHEM-REACT	SW a334-8e9f-50ad-e0e9	69a0-05b9-2170-a796	
a	warm	environment	usually	has			more	food	than a cold environment								# Q 12	SW 3790-b270-8d3d-1eb6	7f54-4f3b-f1fc-91aa	
	cold	environments	usually	have			little	food							for	animals	# 848		aa49-4312-5751-0a4e	
		euglena		has			definite	shape									#3058		bffd-16b6-6cf5-de21	
		felt		is			high	in roughness									# Q 2546		df1c-31b5-6e8c-67cb	
a	ball	field		is			open; grassy										#810		f341-ffff-8752-ebe0	
a		fingerprint		is			small	in size									#1033		39c0-522a-11a2-3a53	
		fingerprints		are	usually		unique										#3038		1004-e64e-7352-492c	
		floodplains		are			flat	in shape									# Q 1509		c1af-f272-25af-a368	
		flowers	often	have			a sweet	smell							to	attract pollinators	# Q 80		6f76-c3b2-2312-e50c	
		fluorine		is	not			a metal									#2696		8ec9-096f-fb1e-921b	
	fresh	food		is	usually		safe	to eat									#2118		c9d3-5f71-de10-2716	
	sugary	foods; drinks		are			dangerous		to a person with diabetes								# Q 2483		a7df-c7f4-a32a-2010	
a	dense	forest		is	often		dark	in color									# in color?	Moved to PROP-ENVIRONMENTATTRIB	e01d-a57c-e5db-71a7	
a		forest		is	often		green	in color										Moved to PROP-ENVIRONMENTATTRIB	58bb-e912-bc25-5d3b	
a		forest		receives			more	rainfall	than a desert								# Q 900	Moved to PROP-ENVIRONMENTATTRIB	5398-a3f9-1ecf-29b4	
a		freezer; refrigerator		is			cool; cold	in temperature 									# Q 90		a7e7-4c34-fac1-a502	
the		freezing point of water; melting point of water		is			32F; 0C; 273K										#704		cdc9-5a05-7bcd-607f	
		fruit juice		is	usually		high	in sugar									# Q 2483		945e-0e1f-c176-fbd2	
	white	fur		is			white	in color											9ed5-f4a8-9357-2763	
		galaxies		are	usually	thousands of	light years	in diameter									# Q 2511		9327-bd92-ab15-a766	
		grass		is			a rough	surface									#1456		05fc-1029-d104-3be1	
		grass		is			green	in color									# Q 1502		c683-bb38-4c18-252e	
a		grassland		receives			more	rainfall	than a desert								#1339	Moved to PROP-ENVIRONMENTATTRIB	a339-d450-6ac8-fc73	
 		gravel		is			a rough	surface											9c2f-5280-ba4b-e3c6	
		gravel		is	usually		gray	in color									#3377		064c-17fe-99d6-50d0	
		hair		is			thin												9fc4-8f42-b1f1-b569	
a	human	hand		is			large enough	in size	to be visible								#3133		74cb-57b5-4d62-5b2a	
		helium		has			lower; less	density	than air								# Q 2463 comparison	SW 72a5-1765-e949-fbcc	1098-ea34-4b0e-57b2	
		helium		has		a low	atomic number										#3322		d0ec-904c-245a-b25c	
a		hill		is			more rounded		than a mountain								# Q 1513 comparison	SW e0d7-0844-65c7-8fc5	8559-8dfa-7241-515b	
a		hole		is			less 	dense	than its surroundings								# 741	Low quality. No uses.	4aa8-28d7-1989-84ea	
		homeostasis		is			the stable	condition	of an organism's internal environment										6278-fef0-ed91-10e9	
a		hurricane		has			high	wind speeds									# 1350		b0d6-ab23-63f7-1caf	
a		hurricane		has			large amounts	of rain											0cf9-0d32-4d85-4954	
		hydrocarbon molecules	can	be			large	in size									# Q 2714		d407-d22d-ea71-838d	
		ice		is			cold	in temperature									#838		d495-a1f3-29eb-04fe	
the		inner core		is			the most dense	layer of Earth									# Q 2722		af78-80dd-7ba9-a844	
an		insect	usually	has			a small	size									#592		afbd-d8f4-0c38-88c2	
an		insect		has			six	legs									#759		4664-31ab-6299-53d0	
an		insect		has			three	body parts									#2858		77ce-2796-6a32-ca8c	
an		insulator		is			insulated										# Q 1743		b360-3f95-0ae2-4cdd	
an		ion		has a			net positive; net negative	charge									# Q 2444 PROP-CHEM-CHARGE	SW 27fd-f99e-a9ff-2b4e	c8f9-40ee-1517-c378	
		ionizing radiation		is			harmful		to human skin								# Q 2412		e652-336a-b54e-a55c	
		iron		is			more dense		than water								# Q 2741		2ead-9402-4803-38bc	
a		labybug 		has			a small 	size									# Rename columns, refactor. 		f917-eb1c-9469-7341	
a		law		is			more	accepted; tested	than a theory								# Q 2201 comparison	SW 86ee-237a-77cd-1a4e	58dd-bb35-402f-c60b	
a		leaf		is			small	in size											bf0b-effc-65b2-b510	
a		leaf		is	often		green	in color									# Q 227		c904-3dbd-0d11-2f34	
		leather		is			resistant		to water								#794		415e-bca0-9dfd-3594	
		leaves		are	sometimes		brown	in color									# Q 960		24c0-2337-1514-44da	
a		lemon		has			strong	odor									#560		efa5-5736-022e-c233	
	different types of	light		have			different	wavelengths									# Q 2412		a98b-a949-e175-63c5	
		lightning		is		very	a loud	sound									# 1081	Low quality. No uses.	ba93-c047-6082-4e19	
		literacy		is			important										# 572		12e7-d986-fc31-5759	
		living things	in the same class	are 			more closely	related	than living things in different classes								# Q 2460 COMPARISON	SW 1335-3054-6045-64e9	5b72-c8ef-871d-3fec	
a		mammal	usually	has				fur									#180	Moved to PartOf	b5f5-6f17-bdac-392c	
the		mantle		is the			thickest; largest	layer	of the Earth								#2321		cc6d-bd7a-018d-5921	
		mass; weight		are			the same		on Earth								#2928		8ce7-4471-f7fa-5b61	
	different	materials	usually	have			different	properties									#352		10a8-eeb5-10c6-369a	
the		melting point of iron		is			2800F; 1538C; 1811K										# Q 922		00f1-21aa-fbc1-fe69	
the		melting point of oxygen		is			-361.8F; -218.8C; 54.4K										# Q 922		0ed7-324f-5c82-eb6c	
		Mercury	does not	have				an atmosphere									#2842 negation		4a6a-b6ed-4f48-2580	
		metals	usually	have			greater; higher	conductivity	than nonmetals								# Q 2509 COMPARISON	SW 116e-9e09-bc2b-5162	77d4-0579-8fc4-7c8f	
		metals	usually	have			higher	melting points	than nonmetals								# Q 2509 COMPARISON	SW 0ec5-4fef-39bb-0071	b163-376a-356b-5e10	
		mica		has			a nonmetallic	luster									# Q 74		f616-ce95-c8c4-6ece	
		mica		is 			black	in color									# Q 74		d1f4-8b8c-b9dc-80b5	
a		microorganism		is		very	small	in size									#1842		2faf-8dd2-50a0-d8c3	
a		mineral	usually	has			a crystal	structure											16b8-4881-cbed-004f	
a		mirror		has			a shiny	surface											733b-ce8a-669c-e222	
a		molecule		is		exceptionally	small	in size											0c8a-25b8-b161-eab3	
a		mollusk		has			a muscular	foot									#3063		903c-4572-e16e-c7a0	
a	planet's 	moon		is			smaller		than that planet								# Q 69 COMPARISON	SW 3e43-6c70-96a7-964f	3f74-37d4-8002-21b5	
the		moon		is			less bright		than the sun								#1039 COMPARISON	SW 53cf-161f-7a43-8925	ee54-4b39-996f-44ce	
the		Moon		has			less	water; air	than Earth								# Q 1109 COMPARISON	SW d4af-f053-7231-894d	dca8-aca7-a3a5-b57f	
the		Moon		has			a rocky	terrain									# Q 1742		1769-4bec-1684-3665	
the		moon		is			the closest	celestial object	to the Earth								#1829	Moved to Prop-Rel-Dist	c6d8-7199-8e94-b928	
a		mountain		is			taller		than a hill								#789 COMPARISON	SW 456d-ae75-254e-3289	1cf5-4c61-5764-7fcb	
a		mountain		is			high	in altitude									# Q 1146		26ec-d15c-d91b-6223	
	many	mountain ranges		are	no longer		covered in	water											3095-0a60-995f-7d42	
a		mountain; hill		is			taller		than the land around it								#785 COMPARISON	SW 4b11-acb9-f189-dd26	8fcb-803a-e436-4aed	
		Neptune		has			the longest	solar year; planetary year	in the solar system								# Q 2229 COMPARISON	SW 7c64-997c-96de-8e57	3826-acbb-7fcc-73e9	
		Mercury		has			the shortest	solar year; planetary year	in the solar system								comparison?	SW 138c-781d-b80c-20b9	cc64-1623-3dc4-b81c	
		Neptune		is the			furthest	planet from the sun	in the solar system								# Q 2229 PROP-REL-DIST	SW 2a54-5bc0-92f5-2816	2235-fd62-85a8-a8a8	
the		neuron		is the			smallest	functional unit; structural unit	of the nervous system								# Q 2216		237f-6af4-e400-19c9	
		New England		has an			abundance	of trees									# Q 2274		e223-101d-871c-14e3	
		New York		is			closer	to the North Pole	than Florida								#2101 COMPARISON	SW b973-d18a-c04b-5260	185a-1acc-1d39-1dc0	
		night		is			low	in light; in visibility									# Q 1560		a659-d135-c6bf-7724	
the		night		has			cooler	temperatures	than the day								#1886 COMPARISON	SW 7776-3880-0a8c-9715	eed1-42ea-b787-ef59	
		nutrients		are			simpler		than food								# Q 2532 COMPARISON	SW 0f7c-76df-6fe6-24c9	f246-c888-47e0-2c91	
an		object		has				properties									# abstract		d314-35e4-3e7a-1c39	
	two	objects		are	usually		different	in size									# Q 611		36a4-da66-ef5a-240d	
		oceans		are		unevenly	heated										#2854		6deb-ced2-cc8b-27a9	
an		onion		has			a strong	odor									#560		e719-7220-24f3-b304	
a	single-celled organism's	organelles		are			like	the organs	of a multi-celled organism								# Q 2408 analogy		3479-c079-ce4b-e9eb	
a	unicellular	organism		has			one	cell									# Q 470		d583-32a9-3187-f189	
a	multicellular	organism		has			more than one	cell									# Q 470		0f8a-4ede-42d6-258e	
a	multicellular	organism		is			large enough		to be visible								#3133		9fc2-3540-84b7-298a	
an	invertebrate	organism	does not	have				an internal skeleton									#3186 NEGATION		f567-917d-4745-74fa	
	adult	organisms		have			more	cells	than baby organisms								#3280		de2d-579d-4b9d-e6c7	
		organs		are			a smaller	level of organization	than organ systems in living things								# Q 2299		9827-a991-016e-8463	
		paramecium		has				an organelle							for	movement	#3056		32ae-6ec9-2651-0868	
an		part of an object		is			smaller		than the entire object								#775 COMPARISON	SW 87d4-163c-b8bc-4a9f	73b8-5c7f-43f4-65e2	
a		part of something		is			present		in that something								# Q 2221		f073-f5a6-8134-5f39	
		particles	in a solid	are			slower		than particles in a liquid								# Q 2473 COMPARISON	SW 6f72-28ca-e772-7204	5a02-e1e0-38f2-59e7	
		particles	in a solid	are			closer	together	than particles in a liquid								# Q 2473 COMPARISON	SW 3029-78ca-6899-d72f	3bbb-8bc7-62c8-44a0	
		particles	in a liquid	are			closer	together	than particles in a gas								# Q 2473 COMPARISON	SW f4ce-2fa7-0e7d-8065	c828-419d-e4c7-8df6	
		particles	in a liquid	are			slower		than particles in a gas								# Q 2473 comparison	SW a3bb-516f-8a35-2591	d238-164f-81b4-dd55	
		perfume		has			a strong	odor									#560		e54a-c405-f545-aabe	
the		periodic table		is		systematically	organized		according to the structure of the atoms of the elements								# Q 2294 require further breakdown		164b-feea-a717-7f89	
a		pesticide		is	usually	very	poisonous		to insects										bfed-cc1c-57ae-63fe	
a		pesticide		is	infrequently		poisonous		to humans										5154-b206-93fe-b695	
a	flower's	petals	often	are			bright	in color							to	attract pollinators	# 512		f249-a34c-12c4-3aa1	
a		piece of an object		is			smaller	in size	than the whole object								# 890 COMPARISON	SW 87d4-163c-b8bc-4a9f	3120-39a0-244c-c677	
a		pine needle		has			a strong	odor									#560		084c-4642-aa65-3cd4	
		pink		is				a combination	of red and white								#3324		41f5-ae57-3596-38a9	
a		plant cell		is			box-like	in shape									# Q 940		aab8-00f7-ef3f-7b5d	
		plants of the same species		have			the same	type of seed									#580		7e9c-da3a-7c84-a251	
		plastic		is			high	in strength									# Q 2717		04b6-3898-d07a-aba1	
		plastic		is			cheap										# Q 2717		d8dc-a043-cda1-ff15	
		plastic		is			microwave-safe										# Q 2717		6a67-5a17-1a3e-6335	
		plugging many appliances into one outlet		is			dangerous										# Q 938, Requires further decomposition?		25b0-7443-ab60-3f06	
a		poison		is		very	poisonous										# Q 51		7fd0-cd82-3f0c-a3db	
a		pond		is			smaller; shallower		than a lake								#1358 comparison	SW c917-2bee-cc99-191a	44cb-f847-aac2-4fc0	
a		pool table; billiards table		has			a felt	surface											952a-dad8-5697-0d9c	
a		population		is	all of the		interbreeding members 	of a certain species	in an ecosystem								# Q 2271		7067-f58c-ec4a-1494	
		reptiles		have				lungs									#3383		c054-ccb2-734b-cf6c	
		reptiles		have				scales									#3383		c10a-331b-28d9-15d2	
a	nonrenewable	resource		is			limited	in supply									# Q 2133		2195-8880-3362-9682	
a	good	road		has			a smooth	surface									#158		632c-7862-a8a3-b10e	
	sedimentary	rocks	often	have			different colored	layers									# 661		4d68-51e5-594f-3689	
	sedimentary	rocks		are	often		light brown	in color									#727		d7a7-05d2-6fba-4853	
		rod		is			cylindrical	in shape									#432		926d-653a-d7c0-f415	
		rolling		is	usually		downward	in motion									#395	Low quality.	0380-dbfd-3ecf-3cde	
		sand		has			a rough	surface									#158		9c54-4fa8-ed73-dd28	
an	animal's	scales		are			small	in size									# Q 316		0897-4040-593e-dc4e	
		seeing small things		is			difficult										#2056, Requires further decomposition?		3685-6ff7-a08b-2d74	
the	continental	shelf		is			shallow										#489		cf94-2565-141e-044f	
an	animal's	shell		is	usually		hard								for	protection	# Q 1102	SW 9dc0-0ba6-dbb6-4ff7	b9a7-e1c0-9960-d0c6	
		short height		is a			recessive	trait	in pea plants								# Q 2276 PROP-DOMRECESS-TRAIT	SW dc0b-384d-6ffb-b162	7138-c18f-4e9e-96e5	
the		skin		is			the largest	organ	in the human body								# Q 1565 COMPARISON	SW 0c6c-e0fe-511c-38f9	615b-8fca-7958-d93e	
the		sky		is			blue	in color									#3020		42a1-9b95-5492-e40c	
	 	snow		is			white	in color											4a3e-9dc2-ab24-8562	
		snow		is			cold										#1831		6791-5d18-6261-a488	
	low quality	soil		has			a small; a low	number of nutrients											9474-6b36-90b1-4a89	
	high quality; rich; good	soil		has			a high	number of nutrients; amount of nitrogen											3dad-38fc-471b-0aed	
	infertile	soil		is			low	in quality											198b-a912-6c6c-5887	
	fertile	soil		is			high	in quality									# Q 10		b7eb-7a34-8336-c669	
		soil	usually	has				layers									#779		0d52-7984-a05e-cc67	
		soil and sediment deposited by a river		are	usually		high; rich	in nutrients											fa7e-23e0-7d6f-6d2b	
a		solid		is			more dense		than a gas								#2029		3919-e542-2a4d-531d	
		some cells in a volvox colony		are				specialized	for reproduction								#3059		4a49-2a13-22cf-1ffa	
the	longest	something		has			the greatest	length									# Q 303	Moved to AVR.	f1b7-af12-38b9-7f34	
the	shortest	something		has			the smallest; the least	length									# Q 313	Moved to AVR.	1742-b5f7-54d8-a071	
		something that contains air		is	usually		buoyant										#1350		7855-8a61-a859-05ab	
	high-frequency	sound waves		have			low; short	wavelengths									# Q 2418		c106-d344-8728-cf3c	
	some	species of tree		are			deciduous										#3001		5b51-5acd-b21b-b333	
a	human	sperm cell		has			23; twenty-three	chromosomes									# Q 2219		9123-fa03-e60f-773f	
		spring		has			warm	temperatures; weather									#509		c340-79fe-20a6-026a	
		fall; autumn		has			moderate	temperatures; weather											0dd9-02ca-8b67-feba	
a		star		is	usually		larger		than a planet								# Q 69 COMPARISON	SW d0a0-c566-15b4-8a30	2fa6-223b-ad1e-c3a8	
a		star		is		very	hot	in temperature									#545		0ef0-7edc-e18e-a2fa	
		stars		are	some of the		hottest	objects									# Q 223 COMPARISON	SW 8782-84b4-1ade-fcc8	9ec4-cf33-e33d-d108	
		steam		is			hot	in temperature									#830		329c-e273-405b-8f40	
a		string		is	usually		small	in diameter											509c-64c9-84f2-42ff	
a		string		is	usually		short	in length		with values between	2	and	1000	cm			# Q 99		0d5d-fcee-547a-e20c	
		sulfur		is			yellow	in color									#725		2db1-ab10-ff6c-cc17	
		summer		has			hot	temperatures; weather									#585		a6b9-8323-ab01-cfe7	
		summer		has			the most	sunlight									# Q 906 COMPARISON	SW 564e-eb72-a12b-dbaa	a0de-6074-3154-0632	
the		sun		is			average	in size	for a star in our galaxy								#539		c463-e7fe-1eeb-840d	
the		sun		is			average	in temperature 	for a star in our galaxy								#539		3530-0fd9-f523-ac33	
the		sun		is 			the largest	celestial body	in our solar system								# Q 69 COMPARISON	SW 13af-148e-6de8-60de	b22e-a262-859f-aa35	
		sunlight		is			intense		in space								#3362		7023-1711-44da-d626	
the		surface of the sun		is		extremely	hot	in temperature		with values as high as			20 000 000	° C					7e7e-5a6a-ed12-a2cc	
the	chemical	symbol for magnesium		is				Mg									#3011 move to PROP-CHEM-ELEMSYMB	SW a8ed-1e80-2898-7558	55a8-4051-438f-211c	
a		table		is			hard										#1817	SW 0227-a355-b0ea-7d16	9c2f-2d3d-287e-0b65	
		tall height		is a			dominant	trait	in pea plants								# Q 2276 PROP-DOMRECESS-TRAIT	SW ce4a-4123-9404-be1c	a0db-105a-880c-ebae	
a		theory		is			more	accepted; tested	than a hypothesis								# Q 2201 MOVED TO COMPARISON	SW 50c9-18cc-aaa1-cc21	17bc-1c9c-760f-ade1	
all	living	things		have			life cycles										#1854		a094-21de-59c0-f3ad	
a		thorn		is			sharp										#2127		c6cc-0b90-daf6-edc7	
		thunder		is			loud										#334		c391-0831-1f0b-44bd	
		tissues		are			a smaller	level of organization	than organs in living things								# Q 2299		0027-eb13-b447-05fb	
a		tornado		has			high	wind speeds									# 1230		5e06-8173-600d-592b	
a		tornado		has			circular	motion									# 1230		2e3a-63c4-6119-00f5	
		trees of different species		have			differently	shaped	leaves								#598		bfe6-d06b-d8bf-a2c1	
		tropical environments	usually	have 			warm	temperatures									# Q 249	SW 0a7a-e005-a69f-d3e8	965d-32ef-32f1-71b5	
the		tundra		is		very	cold	in temperature									#845 MOVE TO PROP-ENVIRONMENTATTRIB	SW 569d-9ee4-d775-7874	2409-b366-fcf7-eb7b	
	identical	twins		have		all of the	same	inherited characteristics									# Q 953		e883-d258-546b-7207	
	different	types of matter		have			different	chemical properties									#3206		ebee-dba6-703c-ec30	
	different	types of soil		have			different	textures									#566		023a-cb3f-47ab-8682	
		ultraviolet radiation		is			ionizing										# Q 2412		6949-320c-5617-2da0	
		vanilla		has			a strong	odor									#560		723a-5193-2766-0065	
	water	vapor		is			invisible												60af-59d3-7477-0429	
		volvox		has				an organelle							for	movement	#3056		c861-bb6c-ea7f-208b	
		water		is	often		brackish		in an estuary								# Q 1571		1a35-de3e-b0e2-6c27	
a	short	wavelength		has			low; little	distance	before it repeats								# Q 2418		854b-0236-4e0a-359d	
	bad	weather		is			dangerous										# Q 1592		7dd1-b271-7099-4e67	
a	western	coral snake		is			poisonous										# Q 554		7f3b-9182-504a-0463	
		winter		has			cold	temperatures;weather											9939-7d13-b72f-2674	
		wood		is	usually		sturdy										#790		614b-29b1-4fb6-991b	
		wood		has			a smooth	surface									#884		8b0a-659e-85fd-42ce	
		wood		is			a strong	material									# Q 1532		c7ff-4b62-295c-7800	
		wood		is			a light	material									# Q 1532		73c5-2c1f-a941-c351	
a		worm		has			a tube-like	body 									# Q 1731		5e45-653c-e6dc-6c95	
fungi			can	be			multicellular										#2313		a31f-d867-e1b3-30c8	
	Earth			is		greater		in mass	than Mars								#3217		f07c-5e13-3df5-59f0	
		particles	in a solid	have			an orderly fixed	position									#7289		7e23-ef4f-f58e-fb36	
	pure	water		is			neutral; 7	in pH level									#7608 MOVE TO PROP-CHEM-ACIDITY	SW 1cda-82ca-90b4-3d9c	1d85-152f-d8fa-dec2	
		molecules; atoms		are	constantly; always		moving; vibrating		in substance;matter										e544-6e3b-2b5a-a411	
an		allele	can	be			a dominant gene												ec30-7220-5517-49b1	
an		allele	can	be			a recessive gene												8fc0-999b-61ad-d2c8	
a		gene		is a		sequence of	nucleotides		in DNA									replace with gene-MADEOF-dna, dna-MADEOF-nucleotide	9a51-5b53-5884-94b8	
an		allele		is a		different form of	a given gene											replace with allele-KINDOF-gene, allele-FORMEDBY-mutation, allele-LOCATION-sameas-mastergene	f525-9ed6-9a40-382d	
a		chromosome		is a			DNA molecule											not a property	0ceb-79fe-bb34-7e01	
		adenine; A		is the			complementary base	of thymine; T	in DNA										9afd-0acd-bf11-a260	
		guanine; G		is the			complementary base	of cytosine; C	in DNA										475a-d842-b667-1d50	
a	heterozygous	organism		has		both	dominant and recessive	genes										move to CONTAINS	eea0-9d67-6ae8-0be6	
a		homozygous organism		has		two	same	genes										deprecated	cedb-b961-f629-f2c5	
a	homozygous recessive	organism		has		only	recessive	genes										move to CONTAINS	05e3-6c96-782e-6bad	
a	pure; homozygous	dominant organism		has		only	dominant 	genes										move to CONTAINS	b494-09e2-8df4-f509	
		air		is			invisible												ebb4-e0a8-187e-fb4b	
		air		is			colorless												0f7f-7ea2-a662-adaa	
a		tiger		is			big	in size											10cb-c878-88d5-39ae	
a	household	cat		is			small	in size											4d35-6419-8f67-630b	
	dark	eyes		is			a dominant trait	in human									MOVE TO PROP-DOMRECESS-TRAIT	SW 2632-1bc0-8b19-01f1	39d5-c3b4-0f8a-2069	
		brown		is			dark	in color											1bc8-eef9-c1b6-843f	
		dimple		is			a dominant	trait	in human								MOVE TO PROP-DOMRECESS-TRAIT	SW 5f1a-4459-bb88-bf19	d975-81ec-0f66-e8b2	
